,Clinic Name,Distance and Status,Address,Location,Contact Info
57,Faith Clinic (Bedok),11.69 km - Closing in 1 hr 57 min,746 Bedok Reservoir Road #01-3013,Singapore 470746,T +65 6702 0820
58,Faith Clinic (Yishun),11.69 km - Closing in 1 hr 27 min,Blk 598 Yishun Ring Road ##01-11 Wisteria Mall,Singapore 768698,T +65 6339 1129 F +65 6444 8019
59,Healthway Medical Clinic (Westgate),11.72 km - Closing in 2 hr 27 min,3 Gateway Drive #04-32 Westgate,Singapore 608532,T +65 6560 6127
60,Minmed Clinic Bedok,11.75 km - Closing in 2 hr 26 min,"311, New Upper Changi Road #01-47/48",Singapore 467360,T +65 6383 0123
61,Seah Clinic,11.75 km - Closing in 2 hr 26 min,311 Hougang Ave 5 #01-183,Singapore 530311,T +65 6282 7254
62,YSL Bedok Clinic & Surgery,11.75 km - Closing in 2 hr 26 min,539 Bedok North St 3 #01-631,Singapore 460539,T +65 6245 2684
63,Healthcare Hougang Medical Clinic,11.75 km - Closing in 1 hr 56 min,311 Hougang Ave 5 #01-191,Singapore 530311,T +65 6288 1426
64,Healthcare Medical Centre,11.75 km - Closing in 1 hr 56 min,311 Hougang Ave 5 #01-191,Singapore 530311,T +65 6288 1426
65,Wong Clinic,11.75 km - Closing in 1 hr 26 min,539 Bedok North St 3 #01-603,Singapore 460539,T +65 6241 2267
66,Stat Medical Clinic @ Hougang,11.75 km - Closed,311 Hougang Ave 5 #01-183,Singapore 530311,T +65 6282 7254
67,Shenton Family Medical Clinic (Bedok Reservoir),11.77 km - Closing in 2 hr 26 min,744 Bedok Reservoir Road #01-3065,Singapore 470744,T +65 6443 5936
68,A+Ffordable Clinic (Hougang),11.77 km - Closed,Blk 681 Hougang Avenue 8 ##01-829,Singapore 530681,T +65 6584 9388 F +65 6385 8716
69,Dedicare Medical Practice & Surgery @ Hougang,11.79 km - Closed,419 Hougang Ave 8 #01-K1,Singapore 530419,T +65 6980 3066
70,Hougang Family Medicine Clinic,11.83 km - Closing in 6 hr 56 min,51 Hougang Ave 4 #02-01 Ci Yuan Community Club,Singapore 538776,T +65 6315 3323
71,RafflesMedical (Bedok North),11.83 km - Closing in 2 hr 56 min,203 Bedok North St 1 #01-467,Singapore 460203,T +65 6844 9291
72,Elissa Medical Clinic,11.85 km - Closing in 2 hr 26 min,"1 Hougang Street 91, Hougang 1  #01-21",Singapore 538692,T +65 6312 2632
73,Halley Medical Clinic,11.85 km - Closing in 2 hr 26 min,1 Hougang Street 91 #01-21 Hougang 1,Singapore 538692,T +65 6312 2632
74,Kang An Clinic,11.86 km - Closing in 1 hr 56 min,644 Bukit Batok Central #01-70,Singapore 650644,T +65 6566 4856
75,Central 24-Hr Clinic (Hougang),11.89 km - Open 24 Hrs,681 Hougang Ave 8 #01-831,Singapore 530681,T +65 6387 6965
76,Lighthouse Clinic and Surgery,11.89 km - Closing in 7 hr 26 min,642 Bukit Batok Central #01-52,Singapore 650642,T +65 6425 1935
77,Medical Aesthetics,11.89 km - Closing in 3 hr 26 min,681 Hougang Ave 8 #01-831,Singapore 530681,T +65 6385 0520
78,Medica Clinic,11.89 km - Closing in 1 hr 56 min,681 Hougang Ave 8 #01-837,Singapore 530681,T +65 6386 2187
79,Onecare Clinic Hougang Ave 8,11.89 km - Closing in 0 hr 26 min,Blk 681 Hougang Avenue 8 #01-835,Singapore 530681,T +65 6970 0811
80,E Medical Clinic & Surgery,11.9 km - Closing in 8 hr 26 min,639 Bukit Batok Central #01-34,Singapore 650639,T +65 6563 2798
81,Northeast Medical Group (Bedok),11.9 km - Closing in 2 hr 26 min,531 Bedok North St 3 #01-692,Singapore 460531,T +65 6441 2402
82,Bukit Batok Medical Clinic,11.9 km - Closing in 1 hr 56 min,207 Bukit Batok St 21 #01-114,Singapore 650207,T +65 6560 3311
83,S.T. Medical Clinic,11.9 km - Closed,531 Bedok North St 3 #01-694,Singapore 460531,T +65 6444 0159
84,Starcare Clinic And Surgery,11.9 km - Closed,207  #01-108 Bukit Batok St 21,Singapore 650207,T +65 6561 6878
85,Panhealth Family Clinic (Hougang),11.91 km - Closed,932B Hougang Ave 9 #01-02 Hougang Crimson,Singapore 532932,T +65 6610 1496
86,FamilyGP Medical Clinic,11.91 km - Closed,"11, Pasir Ris Link, Seastrand Condominium #01-49",Singapore 518180,T +65 6287 8755
87,Dr Stanley Peck Family Clinic,11.93 km - Closed,Blk 636 Bukit Batok Central ##01-06,Singapore 650636,T +65 6917 7889 F +65 6526 2136
88,Neighbourhood Medical Clinic,11.97 km - Closing in 2 hr 26 min,683 Hougang Ave 8 #01-901,Singapore 530683,T +65 6386 8689
89,CityGP Family Clinic,11.98 km - Closing in 4 hr 56 min,Blk 122 Bedok North Street 2 ##01-106,Singapore 460122,T +65 6241 4702
90,Toh Guan Family Clinic,11.98 km - Closing in 1 hr 56 min,267A Toh Guan Road #01-02,Singapore 601267,T +65 6566 6966
91,Familycare Medical Centre,12 km - Closing in 1 hr 56 min,916 Hougang Avenue 9 #01-08,Singapore 530916,T +65 6385 5177
92,SATA CommHealth Medical Centre - Jurong,12.01 km - Closing in 2 hr 26 min,135 Jurong Gateway Road #04-345,Singapore 600135,T +65 6244 6688
93,Family Care Medical Centre,12.01 km - Closing in 1 hr 56 min,916 Hougang Ave 9 #01-08,Singapore 530916,T +65 6385 5177
94,King George's Medical Centre (Hougang),12.01 km - Closing in 1 hr 56 min,916 Hougang Ave 9 #01-08,Singapore 530916,T +65 6385 5177
95,Lusumu Family Clinic,12.02 km - Closed,530 Bedok North St 3 #01-638,Singapore 460530,T +65 6445 9910
96,Phoenix Medical Group (Hillview),12.03 km - Closed,4 Hillview Rise #3 Hill V 2,Singapore 667979,T +65 6710 7157
97,NCS Medical Clinic,12.04 km - Closing in 9 hr 25 min,5 Ang Mo Kio Street 62 ##01-10 NCS Hub Block A,Singapore 569141,T +65 6570 4000 F +65 6556 7000
98,Wee's Clinic & Surgery,12.04 km - Closing in 1 hr 55 min,418 Bedok North Ave 2 #01-79,Singapore 460418,T +65 6444 5316
99,Healthway Medical Clinic (Hougang Ave 8),12.06 km - Closing in 2 hr 25 min,684 Hougang Ave 8 #01-965,Singapore 530684,T +65 6388 0339
100,MedLife Clinic & Surgery,12.06 km - Closing in 0 hr 55 min,684 Hougang Ave 8 #01-985,Singapore 530684,T +65 6385 0836
101,Northeast Medical Group (Bukit Batok),12.07 km - Closing in 5 hr 25 min,10 Bukit Batok Central #01-01 Bt Batok MRT Station,Singapore 659958,T +65 6266 1442
102,Norwood Medical (Hougang),12.07 km - Closing in 4 hr 55 min,365B Upper Serangoon Road #01-1066,Singapore 532365,T +65 6592 4532
103,Meridian Medical And Dental Centre,12.08 km - Closing in 1 hr 25 min,327 Hougang Ave 5 #01-162,Singapore 530327,T +65 6282 5205
104,Trinity Medical Clinic (Jurong East),12.1 km - Closing in 2 hr 25 min,130 Jurong Gateway Road #02-205 /207,Singapore 600130,T +65 6560 7088
105,OneCare Clinic Bukit Batok,12.12 km - Closing in 1 hr 25 min,630 Bukit Batok Central #01-148,Singapore 650630,T +65 6563 6913
106,Eastern Clinic & Surgery,12.13 km - Closing in 1 hr 55 min,235 Jurong East St 21 #01-316,Singapore 600235,T +65 6561 4458
107,W H Yak Family Clinic,12.15 km - Closing in 1 hr 55 min,25 New Upper Changi Road #01-644,Singapore 462025,T +65 6443 1561
108,Bedok Medical Centre,12.16 km - Closing in 1 hr 55 min,18 Bedok South Road #01-57,Singapore 460018,T +65 6241 4111
109,Central 24-Hr Clinic (Bedok),12.17 km - Open 24 Hrs,219 Bedok Central #01-124,Singapore 460219,T +65 6247 6122
110,Unihealth 24-Hr Clinic (Jurong East),12.17 km - Open 24 Hrs,Blk 135 Jurong Gateway Road ##01-317,Singapore 600135,T +65 6970 5868 F +65 6261 5368
111,Unihealth Clinic (Bedok),12.17 km - Closing in 7 hr 25 min,Blk 214 Bedok North Street 1 ##01-171,Singapore 460214,T +65 6904 3488 F +65 6241 9388
112,RafflesMedical (Jurong East),12.17 km - Closing in 2 hr 55 min,131 Jurong Gateway Road #01-267,Singapore 600131,T +65 6899 6688
113,Acumed Medical Group (Bedok),12.17 km - Closing in 2 hr 25 min,214 Bedok North St 1 #01-165,Singapore 460214,T +65 6443 8077
114,Health Partners Family Clinic,12.17 km - Closing in 0 hr 55 min,1 Bukit Batok Central Link #01-37 West Mall,Singapore 658713,T +65 6898 9031
115,Bedok Central Clinic,12.17 km - Closed,214 Bedok North St 1 #01-161,Singapore 460214,T +65 6242 4489
116,1doc Medical Centre,12.18 km - Closing in 2 hr 25 min,11 Bedok North Street 1 #01-11/12,Singapore 469662,T +65 6282 7088
117,1doc Medical Centre Changi,12.18 km - Closed,51 Changi Business Park Central 2 #02-02,Singapore 486066,T +65 6250 7623
118,Radiant Medical & Aesthetic Centre,12.19 km - Closing in 7 hr 25 min,810 Hougang Central #01-220,Singapore 530810,T +65 6881 2389
119,RafflesMedical (Hougang Central),12.19 km - Closing in 2 hr 55 min,809 Hougang Central #01-180,Singapore 530809,T +65 6386 7896
