,Clinic Name,Distance and Status,Address,Location,Contact Info
20,Hong Family Clinic,15.25 km - Closing in 1 hr 33 min,282 Tampines St 22 #01-300,Singapore 520282,T +65 6784 3300
21,Silver Cross Medical (Jurong West),15.26 km - Closing in 7 hr 18 min,502 Jurong West Ave 1 #01-803,Singapore 640502,T +65 6899 2141
22,Y M Chan Clinic & Surgery,15.26 km - Closing in 2 hr 18 min,406 Tampines St 41 #01-31,Singapore 520406,T +65 6783 1806
23,RafflesMedical (Lot 1),15.29 km - Closing in 2 hr 48 min,21 Choa Chu Kang Ave 4 #B1-07A Lot 1 Shopper's Mall,Singapore 689812,T +65 6765 3363
24,Boon Lay Central Clinic,15.32 km - Closing in 2 hr 18 min,221 Boon Lay Place #01-242 Boon Lay Shopping Centre,Singapore 640221,T +65 6265 5996
25,Boon Lay Clinic & Surgery,15.32 km - Closing in 2 hr 18 min,221 Boon Lay Place #01-240/244,Singapore 640221,T +65 6265 5247
26,OneCare Clinic Boon Lay,15.32 km - Closing in 1 hr 18 min,221 Boon Lay Place #01-152 Boon Lay Shopping Centre,Singapore 640221,T +65 6261 1580
27,Life Family Clinic,15.33 km - Closing in 8 hr 18 min,10 Choa Chu Kang Ave 4 #01-28/29 Choa Chu Kang MRT Station,Singapore 689810,T +65 6766 9119
28,United Health Family Clinic & Surgery,15.34 km - Closing in 6 hr 18 min,627 Yishun St 61 #01-63,Singapore 760627,T +65 6257 1182 F +65 6257 1182
29,Punggol Ripples Family Clinic,15.34 km - Closing in 1 hr 18 min,211D Punggol Walk #01-667,Singapore 824211,T +65 6538 3707
30,Yao Medical Clinic,15.34 km - Closing in 1 hr 18 min,419 Tampines St 41 #01-96,Singapore 520419,T +65 6783 0232
31,CCK Family Clinic,15.35 km - Closing in 8 hr 18 min,304 Choa Chu Kang Ave 4 #01-653,Singapore 680304,T +65 6891 0338
32,OneCare Clinic Punggol Sumang,15.36 km - Closed,218 Sumang Walk #01-05,Singapore 820218,T +65 6513 3092
33,Medi Healthcare Clinic (Punggol),15.37 km - Closing in 1 hr 18 min,218 Sumang Walk #01-02,Singapore 820218,T +65 6444 8748
34,The Edinburgh Clinic,15.42 km - Closing in 1 hr 18 min,306 Choa Chu Kang Ave 4 #01-685,Singapore 680306,T +65 6763 4500
35,Shenton Medical Group,15.43 km - Closed,598 Yishun Ring Road ##B1-09 The Wisteria,Singapore 768698,T +65 6233 9538
36,Yong Clinic & Surgery,15.44 km - Closing in 1 hr 47 min,632 Yishun St 61 #01-06,Singapore 760632,T +65 6753 1803 F +65 6755 7908
37,Platinum Medical Centre,15.45 km - Closing in 2 hr 17 min,504 Yishun St 51 #01-02 Multi Storey Car Park,Singapore 760504,T +65 6257 1134 F +65 6257 1134
38,Mutual Healthcare Medical Clinic (Punggol),15.46 km - Closing in 1 hr 17 min,106A Punggol Field #01-546,Singapore 821106,T +65 6315 5036
39,57 Medical Clinic (Yishun),15.46 km - Closed,618 Yishun Ring Road #01-3238,Singapore 760618,T +65 6235 3490
40,Intemedical Tampines,15.48 km - Closed,"201E, Tampines St 23 #01-96",Singapore 527201,T +65 6223 3803
41,Healthway Medical Clinic (Punggol),15.51 km - Closing in 2 hr 17 min,168 Punggol Field #02-07A Punggol Plaza,Singapore 820168,T +65 6315 3493
42,Punggol Family Clinic,15.51 km - Closing in 2 hr 2 min,168 Punggol Field #01-13 Punggol Plaza,Singapore 820168,T +65 6343 9989
43,Onecare Clinic Punggol Plaza,15.51 km - Closing in 0 hr 17 min,Blk 168 Punggol Field #Punggol Plaza #02-09A,Singapore 820168,T +65 6904 3511 F +65 6904 3512
44,Trinity Medical (Punggol),15.58 km - Closing in 2 hr 17 min,273C Punggol Place #01-874,Singapore 828273,T +65 6694 8238 F +65 6694 8239
45,Acumed Medical Group (Boon Lay),15.59 km - Closing in 2 hr 17 min,301 Boon Lay Way #01-18/19 Boon Lay MRT Station,Singapore 649846,T +65 6515 9919 F +65 6515 9909
46,Lifeline Punggol Medical Clinic,15.59 km - Closing in 1 hr 32 min,198 Punggol Field #02-03,Singapore 820198,T +65 6315 5428
47,Faith Clinic (Simei),15.6 km - Closing in 1 hr 47 min,139 Simei St 1 #01-10,Singapore 520139,T +65 6788 4303
48,Unicare Family Clinic & Surgery,15.61 km - Closing in 1 hr 17 min,216 Boon Lay Avenue #01-03 Multi Storey Car Park,Singapore 640216,T +65 6266 0196
49,Trinity Medical & Aesthetic Clinic,15.63 km - Closing in 1 hr 17 min,151 Simei St 1 #01-33,Singapore 520151,T +65 6260 2822
50,Y T Lim Clinic,15.63 km - Closing in 0 hr 47 min,201B Tampines St 21 #01-1067,Singapore 522201,T +65 6782 5977
51,Street 21 Clinic (Tampines),15.63 km - Closed,201B Tampines St 21 #02-1097,Singapore 522201,T +65 6785 7888
52,Fullerton Healthcare @ Drs Trythall Hoy Davies (Jurong),15.64 km - Closing in 6 hr 17 min,1 Jurong West Central 2 #B1A-19B,Singapore 648886,T +65 6793 0611
53,Shenton Medical Group (Jurong West),15.64 km - Closing in 3 hr 47 min,1 Jurong West Central 2 #01-17 E/F/G/H Jurong Point Shopping Centre,Singapore 648886,T +65 6791 5100
54,Healthway Medical Clinic  (Jurong West),15.64 km - Closing in 3 hr 17 min,690 Jurong West Central 1 #01-193,Singapore 640690,T +65 6792 1812
55,RafflesMedical (Jurong Point),15.64 km - Closing in 2 hr 47 min,1 Jurong West Central 2 #B1A-19D Jurong Point Shopping Centre,Singapore 648886,T +65 6790 0583
56,Acumed Medical Group (Jurong Point),15.64 km - Closing in 2 hr 17 min,1 Jurong West Central 2 #B1A-19E Jurong Point Shopping Centre,Singapore 648886,T +65 6792 3822 F +65 6795 3106
57,Dr W K Koo & Associates,15.64 km - Closing in 1 hr 47 min,1 Jurong West Central 2 #01-16A&B Jurong Point,Singapore 648886,T +65 6792 2669
58,Public Medical Clinic & Surgery,15.64 km - Closing in 1 hr 47 min,664 Yishun Ave 4 #01-275,Singapore 760664,T +65 6755 6539 F +65 6755 2320
59,Royal Care Medical Yishun Grove,15.64 km - Closed,Blk 675 Yishun Avenue 4 ##01-07,Singapore 760675,T +65 6815 2990
60,Central 24Hr Clinic (Tampines),15.65 km - Open 24 Hrs,201D Tampines St 21  #01-1151,Singapore 524201,T +65 6968 7001
61,Healthway Medical Clinic (Tampines Street 21),15.66 km - Closing in 2 hr 17 min,201D Tampines St 21 #01-1143,Singapore 524201,T +65 6260 8801
62,Shenton Family Medical Clinic (Tampines),15.66 km - Closing in 2 hr 17 min,201D Tampines St 21 #01-1137,Singapore 524201,T +65 6784 5291
63,Standard Clinic & Surgery,15.66 km - Closing in 0 hr 17 min,261 Punggol Way #01-05 Multi Storey Car Park,Singapore 820261,T +65 6444 1950
64,Zenith Medical Clinic,15.67 km - Closed,266C Punggol Way #01-374,Singapore 823266,T +65 6443 3678
65,Sunshine Clinic Family Practice & Surgery,15.68 km - Closing in 0 hr 47 min,445 Tampines St 42 #01-02,Singapore 520445,T +65 6783 3122
66,OneCare Clinic Yishun,15.69 km - Closing in 0 hr 16 min,431 Yishun Ave 1 #01-04,Singapore 760431,T +65 6334 2373
67,Distinct Clinic Jurong East,15.7 km - Closing in 1 hr 46 min,249 Jurong East St 24 #01-78,Singapore 600249,T +65 6980 6301
68,Northland Family Clinic & Surgery,15.72 km - Closing in 3 hr 16 min,640 Yishun St 61 #01-198,Singapore 760640,T +65 6753 5181
69,Shenton Medical Group (UE Biz Hub East),15.73 km - Closing in 2 hr 46 min,2 Changi Business Park Ave 1 #03-03 UE Biz Hub East,Singapore 486015,T +65 6636 2490
70,Viva Medical Clinic,15.85 km - Closing in 8 hr 16 min,450A Tampines St 42 #01-356,Singapore 521450,T +65 6782 8020
71,Nee Soon Clinic (Yishun Branch),15.85 km - Closed,779 Yishun Ave 2 #01-1547,Singapore 760779,T +65 6758 0311
72,Parsons Medical Clinic,15.85 km - Closed,779 Yishun Ave 2 #01-1541,Singapore 760779,T +65 6484 6010
73,RafflesMedical (Changi City Point),15.86 km - Closing in 2 hr 46 min,5 Changi Business Park Central 1 #B1-55/56 Changi City Point,Singapore 486038,T +65 6636 1251
74,Zam Family Clinic,15.86 km - Closed,516 Choa Chu Kang St 51 #01-66,Singapore 680516,T +65 6769 0302
75,Q&M Mutual Healthcare Medical Clinic,15.9 km - Closing in 1 hr 16 min,70 Punggol Central #01 - 07 Punggol MRT Station,Singapore 828868,T +65 6384 6605 F +65 6384 6838
76,ProHealth Medical Group @ Punggol Spectra,15.93 km - Closing in 8 hr 16 min,622D Punggol Central #01-02,Singapore 824622,T +65 6444 7701
77,Vitacare Family Clinic,15.93 km - Closed,622D Punggol Central #01-05,Singapore 824622,T +65 6636 0805 F +65 6636 0804
78,Etern Medical Clinic,15.94 km - Closing in 2 hr 16 min,70 Punggol Central #01-05 Punggol MRT Station,Singapore 828868,T +65 6425 9935
79,Q & M Mutual Healthcare Medical Clinic,15.94 km - Closing in 1 hr 16 min,70 Punggol Central #01-07 Punggol Mrt Station,Singapore 828868,T +65 6384 6605
80,Clinic 10,15.95 km - Closing in 1 hr 46 min,"644, Pasir Ris Drive 10 #01-20",Singapore 510644,T +65 6582 5123
81,Frontier Medical Associates (Yishun),15.95 km - Closing in 1 hr 46 min,654 Yishun Ave 4 #01-437,Singapore 760654,T +65 6758 7536 F +65 6758 4601
82,Oxford Medical Centre,15.97 km - Closed,735 Pasir Ris St 72 #02-330 Pasir Ris West Plaza,Singapore 510735,T +65 6585 1496
83,Healthmark Clinic (Pasir Ris),15.97 km - Closed,735 Pasir Ris St 72 #01-314 Pasir Ris West Plaza,Singapore 510735,T +65 6582 7823
84,My Family Clinic (Punggol Central),15.99 km - Closing in 2 hr 16 min,301 Punggol Central #01-02,Singapore 820301,T +65 6853 7351
85,Medilife Clinic & Surgery,15.99 km - Closed,474 Tampines St 43 #01-122,Singapore 520474,T +65 6781 3168
86,Jo-Lin Family Clinic & Surgery,16 km - Closing in 1 hr 16 min,533 Choa Chu Kang St 51 #02-06 Limbang Shopping Centre,Singapore 680533,T +65 6760 6014
87,Millennium Medical Group (Woodlands),16 km - Closing in 1 hr 16 min,533 Choa Chu Kang Street 51  #02-04 Limbang Shopping Centre,Singapore 680533,T +65 6368 0386
88,Healthway Medical (Limbang),16.02 km - Closing in 2 hr 16 min,533 Choa Chu Kang Street 51  #02-07 Limbang Shopping Centre,Singapore 680534,T +65 6762 2555
89,Millenium Medical Group,16.02 km - Closing in 1 hr 16 min,533 Choa Chu Kang St 51 #01-33,Singapore 680533,T +65 6765 6685
90,Healthbridge Family Clinic,16.03 km - Closing in 1 hr 16 min,615A Edgefield Plains #01-327,Singapore 821615,T +65 6489 7495
91,Etern Medical Clinic (Punggol Sumang LRT),16.03 km - Closed,Blk 308C Punggol Walk ##01-302 Waterway Terraces I,Singapore 823308,T +65 6246 7288 F +65 6246 7588
92,One Life Family Clinic,16.05 km - Closing in 1 hr 46 min,533 Choa Chu Kang Street 51 #02-09,Singapore 680534,T +65 6760 0782
93,Onelife Family Clinic,16.05 km - Closing in 1 hr 46 min,534 Choa Chu Kang St 51 #01-41,Singapore 680534,T +65 6760 0782
94,Cecilia Family Clinic & Surgery,16.06 km - Closing in 1 hr 46 min,484 Tampines St 43 #01-224,Singapore 520484,T +65 6788 3812
95,Medicare Associates,16.06 km - Closing in 1 hr 16 min,482 Tampines St 43 #01-236,Singapore 520482,T +65 6788 0137
96,Healthway Medical Centre (Yishun Ave 11),16.08 km - Closing in 1 hr 46 min,417 Yishun Ave 11 #01-321,Singapore 760417,T +65 6753 7626 F +65 6753 0125
97,GoClinic Yishun,16.11 km - Closed,BLK 769 YISHUN AVENUE 3 #01-283,Singapore 760769,T +65 6539 9935
98,Hwang & Liang Family Clinic & Surgery,16.12 km - Closing in 1 hr 46 min,476 Tampines St 44 #01-173,Singapore 520476,T +65 6788 8888
99,Chua Clinic & Surgery (Yishun Ave 3),16.12 km - Closed,769 Yishun Ave 3 #01-281,Singapore 760769,T +65 6257 1690
100,Acumed Medical Group (Pioneer),16.12 km - Closed,7 Pioneer Road North #01-40,Singapore 628459,T +65 6261 0377
101,Minmed Clinic (Punggol),16.13 km - Closing in 6 hr 16 min,83 Punggol Central #02-15 Waterway Point,Singapore 828761,T +65 6388 0123
102,OneDoctors Family Clinic (Punggol),16.13 km - Closing in 6 hr 16 min,83 Punggol Central #02-17 Waterway Point,Singapore 828761,T +65 6385 8018
103,RafflesMedical (Waterway Point),16.13 km - Closing in 2 hr 46 min,83 Punggol Central #02-29 Waterway Point,Singapore 828761,T +65 6384 5655
104,Punggol Family Clinic Pte. Ltd.,16.13 km - Closing in 1 hr 46 min,Blk 322 Sumang Walk #Multi Storey Car Park #01-03,Singapore 820322,T +65 6343 9989 F +65 6343 9979
105,Frontier Medical Associates (Jurong West),16.15 km - Closing in 0 hr 16 min,678D Jurong West St 64 #01-347,Singapore 644678,T +65 6862 2340
106,Neptune Healthcare Medical & Surgery,16.16 km - Closing in 8 hr 16 min,328 Tampines St 32 #01-362,Singapore 520328,T +65 6781 8030
107,Fusion Medical & Health Screening Centre,16.16 km - Closing in 2 hr 46 min,1 Fusionopolis Link #Nexus @One-North #01-05,Singapore 138542,T +65 6250 6548 F +65 6733 1721
108,Medina Medical Centre,16.17 km - Closing in 2 hr 15 min,479 Tampines St 44 #01-231,Singapore 520479,T +65 6588 2756
109,"Doctors Koo, Tey & Associates",16.18 km - Closing in 1 hr 15 min,61 Choa Chu Kang Drive #02-01 Yew Tee MRT Station,Singapore 689715,T +65 6892 4191
110,W Y Teh Family Clinic & Surgery,16.18 km - Closing in 1 hr 15 min,462 Tampines St 44 #01-60,Singapore 520462,T +65 6783 6802
111,BCH Clinic @ Pasir Ris,16.18 km - Closed,21 Pasir Ris Grove #01-32 Coco Palms,Singapore 518070,T +65 8869 1103
112,Healthmark Medical Clinic (Punggol),16.18 km - Closed,639 Punggol Drive #01-06,Singapore 820639,T +65 6875 6696
113,O2 Medical Clinic,16.19 km - Closing in 1 hr 15 min,527D Paris Ris St 51 #01-05,Singapore 514527,T +65 6384 9443
114,Pinnacle Family Clinic (Yew Tee),16.2 km - Closing in 1 hr 15 min,790 Choa Chu Kang North 6 #01-238,Singapore 680790,T +65 6235 7893
115,RafflesMedical (Yew Tee ),16.21 km - Closing in 2 hr 45 min,21 Choa Chu Kang North 6 #01-02 Yew Tee Point,Singapore 689578,T +65 6634 3132
116,Clover Medical Clinic,16.21 km - Closing in 2 hr 15 min,21 Choa Chu Kang North 6 #B1-25 Yew Tee Point,Singapore 689578,T +65 6509 4480
117,Parkway Shenton Medical Group,16.21 km - Closing in 2 hr 15 min,Blk 681 Punggol Drive #01-01,Singapore 820681,T +65 6244 8324 F +65 6244 8410
118,Choong's Clinic,16.21 km - Closing in 1 hr 15 min,480 Tampines St 44 #01-261,Singapore 520480,T +65 6788 5190
119,ProHealth Medical Group @ Punggol Damai,16.22 km - Closing in 8 hr 15 min,612 Punggol Drive #01-05,Singapore 820612,T +65 6509 1580
