,Clinic Name,Distance and Status,Address,Location,Contact Info
16,Yap Family Clinic,18.66 km - Closing in 1 hr 42 min,132 Marsiling Rise #01-230,Singapore 730132,T +65 6362 6012
17,Vitacare Family Clinic @ Canberra Pte. Ltd.,18.66 km - Closed,Blk 361 Sembawang Crescent #01-06,Singapore 750361,T +65 6366 6088
18,Woodlands Clinic,18.67 km - Closing in 1 hr 42 min,131 Marsiling Rise #01-204,Singapore 730131,T +65 6269 6681
19,Crest Family Clinic,18.71 km - Closing in 1 hr 12 min,724 Woodlands Ave 6 #01-502,Singapore 730724,T +65 6365 0906 F +65 6369 3480
20,Temasek Medical Centre (Woodlands),18.72 km - Closing in 2 hr 12 min,883 Woodlands St 82 #01-464 Woodlands North Plaza,Singapore 730883,T +65 6366 8366
21,Jireh Family Clinic,18.72 km - Closing in 1 hr 42 min,883 Woodlands St 82 #02-468A,Singapore 730883,T +65 6366 0373 F +65 6363 3924
22,Hope Family Clinic & Surgery,18.72 km - Closing in 0 hr 42 min,883 Woodlands St 82 #01-470 Woodlands North Plaza,Singapore 730883,T +65 6369 1328
23,RafflesMedical,18.79 km - Open 24 Hrs,"65 Airport Boulevard Departure Hall #B2-01, Passenger Terminal 3",Singapore 819663,T +65 6241 8818
24,Healthway Medical (Sembawang Drive),18.79 km - Closing in 2 hr 11 min,406 Sembawang Drive  #01-820,Singapore 750406,T +65 6555 6674 F +65 6555 6674
25,Healthway Medical Clinic (Sun Plaza),18.79 km - Closing in 2 hr 11 min,30 Sembawang Drive #03-20,Singapore 757713,T +65 6555 1445 F +65 6555 1446
26,Onecare Clinic Canberra,18.8 km - Closing in 0 hr 11 min,Blk 105 Canberra Street #01-09,Singapore 750105,T +65 6251 3778
27,Frontier Medical Associates,18.8 km - Closed,105 Canberra Street #01-11,Singapore 750105,T +65 6266 5080
28,Frontier Medical Associates,18.8 km - Closed,Blk 440 Bukit Batok West Avenue 8 #01-05,Singapore 650440,T +65 6337 0061
29,Central 24-Hr Clinic (Woodlands),18.84 km - Open 24 Hrs,768 Woodlands Ave 6 #02-06A Woodlands Mart,Singapore 730768,T +65 6365 4895 F +65 6362 1895
30,My Family Clinic (Woodlands),18.84 km - Closing in 2 hr 11 min,768 Woodlands Ave 6 #02-07 Woodlands Mart,Singapore 730768,T +65 6884 0658
31,Banyan Clinic,18.84 km - Closed,768 Woodlands Ave 6 #02-04 Woodlands Mart,Singapore 730768,T +65 6365 2001 F +65 6365 8525
32,Central 24-Hr Clinic (Marsiling),18.86 km - Open 24 Hrs,Blk 303 Woodlands Street 31 ##01-185,Singapore 730303,T +65 6365 2908 F +65 6343 6528
33,EH Medical,18.86 km - Closed,Blk 785E Woodlands Rise #01-12,Singapore 735785,T +65 6251 1526
34,Norwood Medical Clinic,18.86 km - Closed,785E Woodlands Rise ##01-02,Singapore 735785,T +65 6937 3576 F +65 6463 3387
35,Healthwerkz Medical Centre @ Sembawang MRT,18.88 km - Closing in 7 hr 11 min,11 Canberra Road #01-09,Singapore 759775,T +65 6755 7115
36,Greenlife Clinic & Surgery,18.88 km - Closing in 1 hr 11 min,11 Canberra Road #02-01 Sembawang MRT Station,Singapore 759775,T +65 6756 2676 F +65 6756 0016
37,Healthwerkz Medical Centre @ Sembawang,18.95 km - Closing in 6 hr 11 min,355 Sembawang Way #01-02,Singapore 750355,T +65 6755 7115 F +65 6755 2528
38,RafflesMedical (Sembawang),18.95 km - Closing in 2 hr 41 min,355 Sembawang Way #01-06,Singapore 750355,T +65 6853 7703 F +65 6853 7786
39,Wen & Weng Family Clinic,18.99 km - Closing in 1 hr 41 min,505 Canberra Link #01-03 Sembawang Mart,Singapore 750505,T +65 6257 1198
40,The Cliniq (Montreal Link),19.01 km - Closed,590A Montreal Link #01-23,Singapore 751590,T +65 6710 7635
41,Central 24-Hr Clinic (Pioneer North),19.06 km - Open 24 Hrs,Blk 959 Jurong West Street 92 ##01-160,Singapore 640959,T +65 6251 2775 F +65 6251 2773
42,Dr Nah & Lee Family Clinic,19.08 km - Closing in 0 hr 11 min,780 Woodlands Crescent #01-03 Multi Storey Car Park,Singapore 730780,T +65 6250 1528
43,DR+ Medical & Paincare Clinic (Marsiling),19.2 km - Closing in 1 hr 41 min,18 Marsiling Lane #01-269,Singapore 730018,T +65 6269 7435
44,RafflesMedical (Terminal Bldg 2-PTB2),19.24 km - Closing in 2 hr 41 min,60 Airport Boulevard #B16-025/026 Changi Airport Terminal 2,Singapore 819643,T +65 6543 1118
45,RafflesMedical,19.29 km - Open 24 Hrs,60 Airport BoulevardPassenger Terminal Building 1 ##02-10,Singapore 819642,T +65 6241 8818 F +65 6543 1113
46,Temasek Medical Centre (Sembawang),19.34 km - Closing in 2 hr 11 min,406 Sembawang Drive #01-824,Singapore 750406,T +65 6555 1155 F +65 64811568
47,Peace Family Clinic & Surgery,19.34 km - Closed,406 Sembawang Drive #01-820,Singapore 750406,T +65 6555 6674
48,Sembawang Mart Medical Centre,19.41 km - Closed,511 Canberra Road #02-02A Sembawang Mart,Singapore 750511,T +65 6481 9793
49,The Cliniq,19.41 km - Closed,511 Canberra Road #02-01 Sembawang Mart,Singapore 750511,T +65 6481 9793
50,Woodlands Medical Centre,19.65 km - Closing in 1 hr 41 min,210 Marsiling Crescent #01-09,Singapore 730210,T +65 9017 3883
51,Jane & Lee Sembawang Family Clinic,19.7 km - Closed,483 Admiralty Link #01-23,Singapore 750483,T +65 6853 7677
52,Acumed Medical Group (Tuas),20.58 km - Closing in 2 hr 11 min,71 Pioneer Road #01-06,Singapore 639591,T +65 6861 5996 F +65 6863 3579
53,Acumed Medical Group,20.67 km - Closing in 1 hr 11 min,14 Tuas Avenue 1 #JTC Space @ Tuas #01-05,Singapore 639499,T +65 6563 9363 F +65 65677365
54,Acumed Medical Group,22.97 km - Closed,128 Tuas South Avenue 3 #01-03,Singapore 637370,T +65 6570 1390 F +65 6570 1395
55,Speedoc Pte Ltd (House calls only),(N/A) km - Open 24 Hrs,"Speedoc provides house call doctors on demand to locations islandwide. It does not have a physical clinic.  For more information, visit",www.speedoc.com,T +65 8180 8948
56,RafflesMedical@Raffles Hospital,(N/A) km - Closing in 7 hr 11 min,"585 North Bridge Road Level 2, Raffles Hospital",Singapore 188770,T +65 6311 2233
57,Loh & Loh Clinic & Surgery (Haig Road),(N/A) km - Closing in 6 hr 11 min,"10, Haig Road, #01-359",Singapore 430010,T +65 6513 3700
58,Alami Clinic by Dr Farhan,(N/A) km - Closing in 2 hr 41 min,"398, Changi Road, #01-02",Singapore 419845,T +65 6993 8100
59,ATA (Orchard) Medical,(N/A) km - Closing in 2 hr 41 min,"1 Orchard Boulevard, #05-09",Singapore 248649,T +65 6322 7331
60,Bethesda Medical Centre,(N/A) km - Closing in 2 hr 41 min,3 Temasek Boulevard #03-330 Suntec City Tower 1-2 North Wing,Singapore 038983,T +65 6337 8933
61,RafflesMedical (Capitasky),(N/A) km - Closing in 2 hr 41 min,Blk 79 Robinson Road #01-04 Capitasky,Singapore 068897,T +65 6968 8941
62,Heals Clinic,(N/A) km - Closing in 2 hr 11 min,47 Tras Street,Singapore 078986,T +65 6223 0132
63,Healthway Medical,(N/A) km - Closing in 2 hr 11 min,Blk 58 Marine Terrace #01-57,Singapore 449408,T +65 6214 9612
64,Healthway Medical Ubi Clinic,(N/A) km - Closing in 2 hr 11 min,"304 Ubi Avenue 1, #01-125",Singapore 400304,T +65 6016 5136
65,Minmed Clinic (Chinatown),(N/A) km - Closing in 2 hr 11 min,"133 New Bridge Rd, #02-32, Chinatown Point",Singapore 408600,T +65 6245 0123
66,Minmed Clinic (Marina Bay),(N/A) km - Closing in 2 hr 10 min,"8A Marina Boulevard, #B2-73/74 Marina Bay Link Mall",Singapore 238859,T +65 6323 0123
67,Minmed Clinic (Marine Parade),(N/A) km - Closing in 2 hr 10 min,"80 Marine Parade Road, #05-21 Parkway Parade",Singapore 440058,T +65 6016 5133
68,Minmed Clinic (Orchard),(N/A) km - Closing in 2 hr 10 min,"290 Orchard Road, #16-04 Paragon",Singapore 237994,T +65 6513 0123
69,Minmed Clinic (River Valley),(N/A) km - Closing in 2 hr 10 min,"1 Kim Seng Promenade, #B2-128, Great World",Singapore 059413,T +65 6767 0123
70,Pancare Medical Clinic (Lavender),(N/A) km - Closing in 2 hr 10 min,"465 North Bridge Rd, #01-5073",Singapore 191465,T +65 6517 9986
71,Silvercross Family Clinic,(N/A) km - Closing in 2 hr 10 min,"846 Yishun Ring Rd, #01-3661",Singapore 760846,T +65 6759 9181
72,Yim Medical Centre,(N/A) km - Closing in 2 hr 10 min,678A Woodlands Ave 6 #03-16,Singapore 731678,T +65 6893 9181
73,Assure Family Clinic,(N/A) km - Closing in 1 hr 40 min,161 Bukit Merah Central #01-3739,Singapore 150161,T +65 6252 8112
74,ICONCARE Medical Clinic,(N/A) km - Closing in 1 hr 40 min,"150 Bedok Reservoir Road, #01-1733",Singapore 470150,T +65 6816 8800
75,Manadr Clinic,(N/A) km - Closing in 1 hr 40 min,371 Beach Road #02-52 City Gate,Singapore 199597,T +65 6970 4557
76,Pinnacle Family Clinic (Changi North),(N/A) km - Closing in 0 hr 40 min,"963C, Upper Changi Road North, #02-09",Singapore 506790,T +65 6320 3938
77,Good Medical Clinic,(N/A) km - Closed,"462 Tampines Street 44, #01-74",Singapore 520462,T +65 6322 7762
78,Riversage Family Clinic,(N/A) km - Closed,476 Upper Serangoon View #02-08,Singapore 530476,T +65 6568 8661
79,Our Tampines Family Clinic,(N/A) km - Closed,"622A Tampines Ave 12, #01—08, Tampines Greenverge",Singapore 521622,T +65 6908 5418
80,bWell Medical & Physio,(N/A) km - Closed,132 East Coast Road,Singapore 428817,T +65 6025 1329
81,My Family Clinic (Tanglin Halt),(N/A) km - Closed,40 Margaret Drive #01-01,Singapore 140040,T +65 6473 8920
82,57 Medical Clinic (Parkway Centre),(N/A) km - Closed,1 Marine Parade Central #02-05,Singapore 449408,T +65 6214 9612
83,SingMedical Clinic Ubi,(N/A) km - Closed,"302 Ubi Avenue 1, #01-55",Singapore 400302,T +65 6592 3123
