,Clinic Name,Distance and Status,Address,Location,Contact Info
14,Healthway Medical Family Clinic (Jln Membina),.93 km - Closing in 2 hr 42 min,18 Jalan Membina #02-18 #02-18,Singapore 164018,T +65 6016 7258
15,Health First Family Clinic,.93 km - Closing in 2 hr 12 min,26 Jalan Membina #01-06,Singapore 161026,T +65 6793 2833
16,Kao & Tan Family Medical Centre & Surgery,.95 km - Closing in 7 hr 42 min,18 Jalan Membina #02-03,Singapore 164018,T +65 6272 7880
17,The Iclinic,.95 km - Closing in 2 hr 42 min,18 Jalan Membina #02-08,Singapore 164018,T +65 6271 3135
18,Chua & Partners Family Clinic,.95 km - Closing in 0 hr 12 min,18 Jalan Membina #02-05,Singapore 164018,T +65 6271 9004
19,Hua Mei Clinic,.99 km - Closing in 3 hr 12 min,298 Tiong Bahru Road #Central Plaza #15-01 To 06,Singapore 168730,T +65 6593 9530
20,Shenton Family Medical Clinic (Duxton),1.01 km - Closing in 2 hr 12 min,1 Cantonment Road #01-02 Pinnacle @ Duxton,Singapore 080001,T +65 6509 5260
21,Medi Clinic,1.01 km - Closed,Blk 2 Jalan Kukoh ##01-149,Singapore 163002,T +65 6235 0697 F +65 6786 0539
22,Health Partnership Medical Centre,1.1 km - Closed,109 Bukit Purmei Road #01-145,Singapore 090109,T +65 6278 2860
23,Icare Medical and Wellness Centre,1.12 km - Closing in 6 hr 42 min,22 Havelock Road #01-701,Singapore 160022,T +65 6274 6856
24,Clearbridge Medical Group,1.12 km - Closing in 3 hr 12 min,11 Kee Seng Street #01-02 ONZE@Tg Pagar,Singapore 089218,T +65 6223 3303
25,Sata Commhealth Tanjong Pagar Clinic,1.12 km - Closing in 2 hr 42 min,7 Tanjong Pagar Plaza #02-103,Singapore 081007,T +65 6694 7378
26,Havelock Family Clinic,1.12 km - Closing in 1 hr 42 min,22 Havelock Road #01-709,Singapore 160022,T +65 6272 4242
27,Duxton Medical Clinic,1.12 km - Closed,7 Tanjong Pagar Plaza #01-106,Singapore 081007,T +65 6538 3573
28,RafflesMedical (MBFC),1.14 km - Closing in 3 hr 12 min,12 Marina Boulevard #17-05 Marina Bay Financial Centre Tower 3,Singapore 018982,T +65 6636 0390
29,PJ Clinic,1.16 km - Closing in 1 hr 42 min,36 Beo Crescent #01-49,Singapore 160036,T +65 6272 7818
30,Manhattan Medical Centre,1.17 km - Closed,151 Chin Swee Road #01-10/11/12 Manhattan House,Singapore 169876,T +65 6732 2332
31,Medic Surgical & Laser Clinic,1.18 km - Closing in 4 hr 42 min,1 Tanjong Pagar Plaza #01-28,Singapore 082001,T +65 6223 3303
32,Tanjong Pagar Medical Clinic,1.18 km - Closing in 3 hr 42 min,1 Tanjong Pagar #01-06 Tanjong Pagar Plaza,Singapore 082001,T +65 6443 3101
33,Fullerton Health @ OFC,1.18 km - Closing in 3 hr 12 min,10 Collyer Quay #Ocean Financial Centre #03-08/09,Singapore 049315,T +65 6672 5000 F +65 6534 4165
34,Drs Chua & Partners  (Tanjong Pagar),1.18 km - Closing in 2 hr 42 min,1 Tanjong Pagar #01-10 Tanjong Pagar Plaza,Singapore 082001,T +65 6221 0607
35,Thean Clinic,1.19 km - Closing in 2 hr 42 min,38 Beo Crescent #01-34,Singapore 160038,T +65 6272 4145
36,Beo Crescent Family Clinic & Surgery,1.22 km - Closing in 2 hr 12 min,40 Beo Crescent #01-02 (near Tiong Bahru MRT),Singapore 160040,T +65 6275 0269
37,MHC Medical Centre (@Amara),1.26 km - Closing in 2 hr 42 min,100 Tras Street #14-01/02/03 Amara Corporate Tower,Singapore 079027,T +65 6225 5220
38,L&G Medical Clinic,1.3 km - Closing in 2 hr 12 min,51 Chin Swee Road #01-75,Singapore 160051,T +65 6250 8437
39,Huan Clinic,1.3 km - Closing in 1 hr 12 min,51 Chin Swee Road #03-111,Singapore 160051,T +65 6535 7628
40,Vienna Medical Clinic,1.35 km - Closing in 2 hr 42 min,277A South Bridge Road #277A South Bridge Road,Singapore 58826,T +65 9730 8800
41,Ho Medical Clinic,1.37 km - Closing in 3 hr 12 min,101 Upper Cross Street #03-09 People's Park Centre,Singapore 058357,T +65 6535 8678
42,Hong's Clinic People's Park Centre,1.37 km - Closed,101 Upper Cross Street #B1-37 People's Park Centre,Singapore 058357,T +65 6535 2169
43,TPC Medical Clinic,1.4 km - Closing in 2 hr 42 min,7 Wallich Street #B1-15 Tanjong Pagar Centre,Singapore 078884,T +65 6386 8980
44,Family Medicine Clinic Chinatown,1.41 km - Closing in 3 hr 42 min,133 New Bridge Road #02-09 Chinatown Point,Singapore 059413,T +65 6225 5155
45,Redhill Clinic by Silkroutes Medihealth,1.44 km - Closing in 4 hr 42 min,116 Bukit Merah View #01-235,Singapore 151116,T +65 6518 9462
46,Liew Clinic & Surgery,1.44 km - Closed,116 Bukit Merah View #01-223,Singapore 151116,T +65 6270 7471
47,Cross Street Medical Clinic,1.45 km - Closing in 3 hr 42 min,531 Upper Cross Street #Hong Lim Complex #01-35,Singapore 050531,T +65 6535 0608
48,Chinatown Medical Centre,1.45 km - Closing in 2 hr 42 min,531 Upper Cross Street #02-64 Hong Lim Complex,Singapore 050531,T +65 6536 0988
49,Healthier GP Clinic,1.45 km - Closing in 2 hr 42 min,35 Telok Blangah Rise #01-287,Singapore 090035,T +65 6517 9778
50,Meden Clinic & Surgery,1.45 km - Closing in 2 hr 12 min,35 Telok Blangah Rise #01-295,Singapore 090035,T +65 6271 3586
51,Dr Gary's Family Clinic,1.45 km - Closed,77 Indus Road #01-519 Indus Garden,Singapore 160077,T +65 6803 9375
52,DA Clinic @ Anson,1.47 km - Closing in 4 hr 42 min,10 Anson Road #International Plaza #01-12,Singapore 79903,T +65 6954 1012 F +65 6591 8668
53,Shenton Medical Group (International Plaza),1.47 km - Closing in 3 hr 12 min,10 Anson Road #36-01 International Plaza,Singapore 079903,T +65 6220 2911
54,Healthway Medical,1.49 km - Closing in 3 hr 11 min,6A Shenton Way #02-15 Downtown Gallery,Singapore 068815,T +65 6220 2383
55,RafflesMedical (Anson Centre),1.52 km - Closing in 3 hr 11 min,51 Anson Road #01-51 Anson Centre,Singapore 079904,T +65 6225 2188
56,Fullerton Healthcare @ Gethin-Jones (Shenton Way),1.53 km - Closing in 2 hr 41 min,78 Shenton Way #04-01 Tanjong Pagar MRT,Singapore 079120,T +65 6277 8900
57,Chinatown Wellness Clinic,1.55 km - Closing in 2 hr 41 min,531 Upper Cross Street #02-01 Hong Lim Complex,Singapore 050531,T +65 6226 7188
58,HL Clinic,1.58 km - Closing in 0 hr 11 min,9 Telok Blangah Crescent #01-135,Singapore 090009,T +65 6272 1986
59,Keppel Medical Group,1.58 km - Closed,9 Telok Blangah Crescent #01-139,Singapore 090009,T +65 6270 0846
60,Parkway Shenton Medical Group,1.61 km - Closing in 3 hr 11 min,50 Robinson Road #Robinson Suites #01-03,Singapore 068882,T +65 6222 3626
61,Healthway Medical Centre (8 Shenton Way),1.62 km - Closing in 3 hr 11 min,8 Shenton Way #B1-23,Singapore 068811,T +65 6227 5841
62,RafflesMedical (Capital Tower),1.62 km - Closing in 3 hr 11 min,168 Robinson Road #02-02 Capital Tower,Singapore 068912,T +65 6323 5212
63,Dr Tan & Partners @ Robertson Walk,1.65 km - Closing in 6 hr 11 min,11 Unity Street #02-07 Robertson Walk,Singapore 237995,T +65 6238 7810
64,Doctors for Life Medical,1.7 km - Closing in 2 hr 41 min,3 Pickering Street #01-02 Nankin Row,Singapore 48660,T +65 6909 0527
65,Whitecoat Medical,1.7 km - Closing in 2 hr 41 min,201 Henderson Road #Apex @ Henderson #05-11/12,Singapore 159545,T +65 6909 6609 F +65 6338 8869
66,Healthway Medical Centre (Shenton Way),1.74 km - Closing in 3 hr 41 min,6 Shenton Way #12-10 OUE Downtown 2,Singapore 068809,T +65 6220 2383
67,Dr Lim Lean Huat & Associates,1.74 km - Closed,6 Shenton Way #40-03 Tower One,Singapore 068809,T +65 6323 8611
68,Q Medical Clinic,1.75 km - Closing in 2 hr 41 min,428 River Valley Road #01-09 Loft @ Nathan,Singapore 248327,T +65 6702 6608
69,Atlas Pacific Medical,1.75 km - Closed,428 River Valley Road #01-10,Singapore 248327,T +65 6386 9098
70,Health Partners Medical Clinic (Cecil St),1.76 km - Closing in 3 hr 11 min,100 Cecil Street #09-01 The Globe,Singapore 069532,T +65 6225 5036
71,Trinity Medical (Shenton),1.77 km - Closing in 3 hr 11 min,"144 Robinson Road #08-02, Robinson Square",Singapore 068809,T +65 6227 9918
72,RafflesMedical (Robinson),1.78 km - Closing in 3 hr 11 min,80 Robinson Road #01-00,Singapore 068898,T +65 6223 1188
73,Providence Clinic @ Redhill,1.78 km - Closing in 1 hr 41 min,86 Redhill Close #01-596,Singapore 150086,T +65 6471 0301
74,HeartlandHealth (Redhill),1.78 km - Closed,86 Redhill Close #01-600,Singapore 150086,T +65 6873 3165
75,RafflesMedical,1.81 km - Closing in 3 hr 11 min,39 Robinson Road #07-02 Robinson Point,Singapore 068911,T +65 6223 1188
76,Jade Medical Clinic Pte Ltd,1.82 km - Closing in 2 hr 41 min,8 Eu Tong Sen Street #The Central Office Tower 1 #13-99,Singapore 059818,T +65 6225 9813 F +65 6225 9541
77,Shenton Medical Group (Robinson Rd),1.83 km - Closing in 3 hr 11 min,35 Robinson Road #01-02/03 Sofitel So Singapore,Singapore 068876,T +65 6222 3626
78,Fullerton Health @ OFC,1.84 km - Closing in 2 hr 41 min,10 Collyer Quay  #03-08 Ocean Financial Centre,Singapore 049315,T +65 6333 3636
79,Pinnacle Family Clinic (River Valley),1.88 km - Closing in 2 hr 41 min,240 River Valley Road,Singapore 238297,T +65 6836 6986
80,The Clinic @ Capitagreen,1.89 km - Closing in 3 hr 11 min,138 Market Street #Capitagreen #02-01A,Singapore 48946,T +65 6384 6851 F +65 6384 6852
81,Tzu Chi Free Clinic (Singapore),1.95 km - Closing in 9 hr 41 min,90 Redhill Close ##01-400,Singapore 150090,T +65 6479 5974 F +65 6475 8718
82,DTAP @ Siglap,1.95 km - Closing in 5 hr 41 min,914 East Coast Road #The Domain #01-04,Singapore 459108,T +65 6926 1678 F +65 6238 7812
83,Northeast Medical Group,2 km - Closing in 3 hr 41 min,22 Malacca Street #RB Capital Building #13-03,Singapore 048980,T +65 6557 2770 F +65 6536 1413
84,Northeast Medical Group,2 km - Closing in 3 hr 41 min,22 Malacca Street #B1-00,Singapore 048980,T +65 6536 6889
85,Shenton Medical Group (Republic Plaza),2 km - Closing in 3 hr 11 min,9 Raffles Place #02-22 Republic Plaza II,Singapore 048619,T +65 6236 0180
86,RafflesMedical,2.02 km - Closing in 3 hr 11 min,8 Marina View #Asia Square Tower 1 #15-01,Singapore 018960,T +65 6636 0160 F +65 6636 0159
87,OC Medical Raffles Place,2.04 km - Closing in 1 hr 41 min,1 Raffles Place #04-12/13/14/15 One Raffles Place,Singapore 048616,T +65 6352 2639
88,Shenton Medical Group (One Raffles Quay),2.05 km - Closing in 3 hr 11 min,1 Raffles Quay #09-02 North Tower,Singapore 048583,T +65 6327 7273
89,RafflesMedical (Asia Square),2.06 km - Closing in 3 hr 11 min,8 Marina View #07-02 Asia Square Tower 1,Singapore 018960,T +65 6636 0160
90,K N Chin & Associates,2.13 km - Closing in 3 hr 11 min,24 Raffles Place #02-18 Clifford Centre,Singapore 048621,T +65 6538 9533
91,Redwood Clinic And Surgery Pte Ltd,2.14 km - Closing in 3 hr 41 min,920 Tiong Bahru Road #Redhill MRT Station #01-07,Singapore 158792,T +65 6251 2193
92,The Clinic Group @ Marina One,2.15 km - Closing in 3 hr 11 min,5 Straits View #Marina One The Heart #01-07,Singapore 18935,T +65 6282 8518 F +65 6282 8529
93,Pacific Family Clinic,2.15 km - Closing in 1 hr 11 min,75D Redhill Road #01-116,Singapore 154075,T +65 6474 0343
94,Dr Steven Ang Aesthetic & Family Clinic,2.15 km - Closed,75D Redhill Road #01-112,Singapore 154075,T +65 6476 7333
95,RafflesMedical (Singapore Land Tower),2.16 km - Closing in 3 hr 11 min,50 Raffles Place #01-02A Singapore Land Tower,Singapore 048623,T +65 6535 2222
96,K N Chin & Associates Pte Ltd (Clifford Centre),2.16 km - Closing in 2 hr 40 min,50 Raffles Place #03-01B Singapore Land Tower,Singapore 048623,T +65 6538 9533
97,Shenton Medical Group (Arcade),2.16 km - Closing in 2 hr 40 min,"9 Raffles Place, Republic Plaza #02-04/05",Singapore 048619,T +65 6371 1582
98,RafflesMedical,2.18 km - Closing in 3 hr 10 min,1 Marina Boulevard #B1-03 One Marina Boulevard,Singapore 018989,T +65 6225 2776
99,Acumed Medical Group,2.2 km - Closing in 3 hr 10 min,16 Collyer Quay #02-03 Income at Raffles,Singapore 49318,T +65 6532 7766
100,Killiney Medical Clinic,2.24 km - Closing in 5 hr 40 min,61 Killiney Road,Singapore 239522,T +65 6736 2998
101,Leong Clinic,2.24 km - Closed,63B Lengkok Bahru #01-366,Singapore 152063,T +65 6476 0572
102,Shenton Medical Group - Singapore Telecom Clinic,2.25 km - Closing in 3 hr 40 min,31 Exeter Road #Basement 2 Comcentre,Singapore 239732,T +65 6838 3881 F +65 6735 5572
103,RafflesMedical (Harbourfront),2.25 km - Closing in 3 hr 10 min,1 Maritime Square #03-56 Harbourfront Centre,Singapore 099253,T +65 6273 3078
104,Mint Medical Centre (Funan),2.26 km - Closing in 3 hr 10 min,107 North Bridge Road #Funan #04-13A,Singapore 179105,T +65 6272 9372 F +65 6634 5200
105,Shenton Medical Group (Marina Bay Financial Centre),2.27 km - Closing in 2 hr 55 min,8A Marina Boulevard #B2-76 Marina Bay Link Mall,Singapore 018984,T +65 6634 5620
106,Mint Medical Centre,2.3 km - Closing in 3 hr 40 min,1 Harbourfront Place #01-10 Harbourfront Tower 1,Singapore 98633,T +65 6272 9372
107,Shenton Medical Group (Harbourfront),2.3 km - Closing in 3 hr 10 min,1 Harbourfront Place #01-04 Harbourfront Tower 1,Singapore 98633,T +65 6377 5727
108,Shenton Medical Group,2.3 km - Closed,1 HarbourFront Place ##01-04 HarbourFront Tower One,Singapore 098633,T +65 6377 5727 F +65 6271 9493
109,Healthway International Medical Clinic,2.31 km - Closing in 3 hr 10 min,111 Somerset Road #01-10A TripleOne Somerset,Singapore 238164,T +65 6733 3855
110,Fullerton Healthcare @ Marina Bay Financial Centre,2.32 km - Closing in 3 hr 10 min,"10 Marina Boulevard #01-03 Tower 2, Marina Bay Financial Centre",Singapore 018981,T +65 6636 9371
111,L & H Polyclinic And Surgery,2.33 km - Closing in 3 hr 40 min,59 Lengkok Bahru #01-543,Singapore 150059,T +65 6474 4544
112,Drs. Bain and Partners LLP,2.34 km - Closing in 2 hr 40 min,No1 HarbourFront Avenue #07-06 Keppel Bay Tower,Singapore 098632,T +65 6271 7110
113,Bukit Merah Clinic,2.35 km - Closed,55 Lengkok Bahru #01-399,Singapore 151055,T +65 6474 8959
114,Chong's Medical Centre,2.36 km - Closing in 2 hr 40 min,190 Clemenceau Avenue #01-29/30 Singapore Shopping Centre,Singapore 239924,T +65 6338 3297
115,Thomas Clinic & Surgery,2.39 km - Closed,61 Telok Blangah Heights #01-97,Singapore 100061,T +65 6270 4354
116,Dr Tan & Partners @ Somerset,2.45 km - Closing in 4 hr 40 min,1 Grange Road ##10-08 Orchard Building,Singapore 239693,T +65 6262 0762 F +65 6262 0766
117,Nutramed Clinic,2.45 km - Closing in 2 hr 40 min,1 Grange Road #10-10 Orchard Building,Singapore 238881,T +65 6735 0706
118,ACMS Medical Clinic,2.45 km - Closing in 2 hr 10 min,1 Grange Road #06-06 Orchard Building,Singapore 239693,T +65 6262 5052
119,Chung & Ee Medical Clinic,2.48 km - Closed,Blk 10 Telok Blangah Crescent #01-151,Singapore 090010,T +65 6996 3782
