,Clinic Name,Distance and Status,Address,Location,Contact Info
41,Prudence Family Clinic,7.99 km - Closing in 0 hr 3 min,512 Bishan Street 13 #01-524,Singapore 570512,T +65 6251 5512
42,Horizon Medical Centre,8.02 km - Closing in 7 hr 33 min,200 Upper Thomson Road #01-11 Thomson Imperial Court,Singapore 574424,T +65 6250 2692
43,Chin Choo Clinic,8.04 km - Closing in 1 hr 33 min,35 Circuit Road #01-430,Singapore 370035,T +65 6745 2815
44,Minmed Clinic (Paya Lebar),8.08 km - Closing in 2 hr 33 min,"10, Eunos Road 8 #02-122, Singapore Post Centre",Singapore 408600,T +65 6749 0123
45,Lifecare Medical Centre,8.1 km - Closing in 0 hr 33 min,36 Circuit Road #01-416,Singapore 370036,T +65 6746 1533
46,The Flame Tree Medical Centre,8.12 km - Closing in 0 hr 33 min,225 Upper Thomson Road,Singapore 574357,T +65 6451 2818
47,C.M.C. Wong Binjai Clinic,8.13 km - Closing in 1 hr 33 min,23 Binjai Park,Singapore 589828,T +65 6469 3737
48,L & L Family Medicine Clinic,8.14 km - Closing in 2 hr 3 min,6 Sin Ming Road #01-07 Sin Ming Plaza Tower 2,Singapore 575585,T +65 6458 8001
49,Chong's Clinic,8.15 km - Closing in 1 hr 33 min,234 Upper Thomson Road,Singapore 574365,T +65 6453 6492
50,Dr Chen And Partners Medical Clinic,8.17 km - Closing in 9 hr 33 min,9 Sin Ming Road#B1-01 Thomson V One,Singapore 575630,T +65 8123 3740
51,Family Life Clinic,8.18 km - Closing in 2 hr 3 min,727 Clementi West St 2 #01-264,Singapore 120727,T +65 6774 4678
52,Healthway West Coast Clinic,8.18 km - Closing in 0 hr 3 min,727 Clementi West St 2 #01-258,Singapore 120727,T +65 6774 5901
53,Keystone Clinic & Surgery,8.24 km - Closing in 5 hr 33 min,"57A, New Upper Changi Road #01-1396",Singapore 462057,T +65 9296 5568
54,GP@Joo Chiat Clinic,8.28 km - Closed,"194, Joo Chiat Road #01-01",Singapore 427465,T +65 6018 9930
55,Wisma Geylang Serai Clinic & Surgery,8.3 km - Closing in 4 hr 33 min,1 Geylang Serai #01-208 Sri Geylang Serai,Singapore 402001,T +65 6747 8072
56,Shenton Family Medical Clinic (Clementi),8.36 km - Closing in 3 hr 3 min,451 Clementi Ave 3 #01-309,Singapore 120451,T +65 6773 9150
57,Lee Clinic,8.36 km - Closing in 2 hr 3 min,325 Clementi Ave 5 #01-139,Singapore 120325,T +65 6778 4608
58,Maju Clinic by Silkroutes Medihealth Pte Ltd,8.4 km - Closing in 3 hr 33 min,414 Eunos Road 5 #01-60,Singapore 400414,T +65 6742 2933
59,International Medical Clinic,8.41 km - Closing in 3 hr 3 min,88 East Coast Road #Katong Square #02-07,Singapore 423371,T +65 6342 4440 F +65 6440 4441
60,The Dublin Clinic,8.41 km - Closed,109 Clementi St 11 #01-25 Sunset Way,Singapore 120109,T +65 6774 7300
61,Central 24-Hr Clinic (Clementi),8.42 km - Open 24 Hrs,450 Clementi Ave 3 #01-291,Singapore 120450,T +65 6773 2925 F +65 6773 2927
62,LC Clinic Medical Surgery Aesthetic,8.42 km - Closing in 5 hr 32 min,446 Clementi Ave 3 #01-191,Singapore 120446,T +65 6464 0932
63,RafflesMedical,8.42 km - Closing in 3 hr 2 min,Blk 446 Clementi Avenue 3 #01-189,Singapore 120446,T +65 6872 9043
64,Trinity Medical Centre (Marine Parade),8.43 km - Closing in 5 hr 32 min,87 Marine Parade Central #02-500A,Singapore 440087,T +65 6344 0027
65,Wee Medical Clinic,8.44 km - Closed,378 Clementi Ave 5 #01-342,Singapore 120378,T +65 6777 5755
66,Raffles Medical Group (Joo Chiat Road),8.47 km - Closing in 3 hr 2 min,"471, Joo Chiat Road",Singapore 427680,T +65 6883 5008
67,Onecare Clinic Clementi,8.47 km - Closed,Blk 449 Clementi Avenue 3 #01-241,Singapore 120449,T +65 6970 9300
68,Frontier Family Medicine Clinic,8.48 km - Closing in 3 hr 2 min,3151 Commonwealth Ave West #04-01 Cityvibe,Singapore 129581,T +65 6778 8362
69,Lee Clinic,8.48 km - Closed,467C Joo Chiat Road,Singapore 427678,T +65 6344 6168
70,Lifeline Medical Centre,8.49 km - Closing in 2 hr 2 min,710 Clementi West St 2 #01-261,Singapore 120710,T +65 6777 2891
71,81 Family Clinic,8.52 km - Closed,86 Marine Parade Central #01-670,Singapore 440086,T +65 6346 6768
72,The Chong Family Clinic Pte Ltd,8.54 km - Closing in 0 hr 32 min,Blk 442 Clementi Avenue 3 #01-113,Singapore 120442,T +65 6266 1998
73,DR+ Medical & Paincare Clinic (East Coast),8.57 km - Closed,146 East Coast Road,Singapore 428835,T +65 6320 0116
74,Mediline Wei Min Clinic,8.59 km - Closing in 9 hr 32 min,81 Marine Parade Central #01-634,Singapore 440081,T +65 6247 9221
75,Central Clinic & Surgery (Marine Parade),8.59 km - Closing in 3 hr 32 min,81 Marine Parade Central #01-630,Singapore 440081,T +65 6346 6277
76,OneCare Clinic Marine Parade,8.59 km - Closing in 0 hr 32 min,81 Marine Parade Central #01-644,Singapore 440081,T +65 6344 1620
77,Healthway Medical Clinic (Clementi),8.59 km - Closing in 0 hr 2 min,443 Clementi Ave 3 #01-63,Singapore 120443,T +65 6872 2214
78,Changi Clinic,8.63 km - Closing in 2 hr 32 min,848 Sims Avenue #01-734,Singapore 400848,T +65 6742 8865
79,Dr. Tan & Partners @ Katong,8.68 km - Closing in 6 hr 32 min,184 East Coast Road,Singapore 428890,T +65 6635 2551
80,Lan Medical Clinic & Surgery,8.69 km - Closing in 2 hr 2 min,308 Clementi Ave 4 #01-345,Singapore 120308,T +65 6773 5112
81,Chin Leong Clinic,8.69 km - Closed,517 West Coast Road #01-555,Singapore 120517,T +65 6778 9493
82,RafflesMedical (Clementi),8.71 km - Closing in 3 hr 2 min,431 Clementi Ave 3 #01-306,Singapore 120431,T +65 6872 9043
83,E L Chin Family Clinic and Surgery,8.72 km - Closing in 2 hr 2 min,432 Clementi Ave 3 #01-272,Singapore 120432,T +65 6777 5182
84,My Clinic,8.73 km - Closed,9 King Albert Park #01-50,Singapore 598332,T +65 6610 8335
85,Dr Care Medical Clinic,8.76 km - Closing in 2 hr 17 min,Blk 18 Jalan Membina,Singapore 164018,T +65 8666 5500
86,Kai Clinic,8.78 km - Closed,223 East Coast Road,Singapore 428920,T +65 6344 1377
87,My Family Clinic (Clementi 325),8.81 km - Closing in 2 hr 2 min,325 Clementi Ave 5  #01-139,Singapore 120325,T +65 6778 4608
88,The Clinic @ Tai Seng,8.82 km - Closing in 3 hr 32 min,18 Tai Seng Street #Mapletree 18 #01-07/08,Singapore 539775,T +65 6384 0160
89,Tai Seng Clinic,8.82 km - Closing in 2 hr 2 min,137 Upper Paya Lebar Road,Singapore 534844,T +65 6288 2434
90,Kong Kian Clinic,8.84 km - Closing in 2 hr 32 min,187 Upper Paya Lebar Road,Singapore 534869,T +65 6288 7101
91,Affinity Medical Clinic,8.85 km - Closed,Blk 253 Serangoon Central Drive ##01-187,Singapore 550253,T +65 6280 8080
92,RafflesMedical (Bishan),8.88 km - Closing in 3 hr 2 min,283 Bishan St 22 #01-177,Singapore 570283,T +65 6456 7122
93,Aspen Clinic,8.88 km - Closing in 2 hr 2 min,283 Bishan St 22 #01-185,Singapore 570283,T +65 6455 3829
94,The Bishan Family Doctors,8.88 km - Closing in 1 hr 32 min,283 Bishan St 22 #01-181,Singapore 570283,T +65 6454 6698
95,Anderson Medical Centre,8.88 km - Closed,283 Bishan St 22 #01-173,Singapore 570283,T +65 6459 9195
96,1 Bishan Medical,8.91 km - Closed,283 Bishan Street 22 #01-191,Singapore 570283,T +65 6456 1600
97,Chang Clinic,8.92 km - Closing in 3 hr 2 min,1 Jalan Anak Bukit #B1-08 to 10 Bukit Timah Plaza,Singapore 588996,T +65 6466 3811
98,Bethesda Medical @ Cereza,8.92 km - Closing in 2 hr 32 min,"3, Chin Cheng Avenue",Singapore 429401,T +65 8816 9933
99,EC Family Clinic,8.93 km - Closing in 8 hr 32 min,30 Eunos Crescent #01-17/18 Eunos MRT station,Singapore 409423,T +65 6742 6103
100,Neoh & Ong Medical Clinic,8.96 km - Closing in 2 hr 32 min,2A Eunos Crescent #01-2447,Singapore 401002,T +65 6742 3322
101,OneDoctors Medical Centre (Serangoon),8.98 km - Closing in 7 hr 32 min,23 Serangoon Central #01-54/55 NEX,Singapore 556083,T +65 6634 4918
102,MyHealth Medical Centre,8.98 km - Closing in 3 hr 1 min,501 West Coast Drive #01-256,Singapore 120501,T +65 6872 6920
103,RafflesMedical (Serangoon),8.98 km - Closing in 3 hr 1 min,23 Serangoon Central #B2-01 NEX,Singapore 556083,T +65 6634 2585
104,Faber Clinic & Surgery,8.98 km - Closing in 2 hr 31 min,501 West Coast Drive #01-284,Singapore 120501,T +65 6776 7723
105,Crescent Clinic & Surgery,9 km - Closing in 2 hr 31 min,1A Eunos Crescent #01-2473,Singapore 401001,T +65 6745 8624
106,Garden Clinic,9.09 km - Closed,304 Serangoon Ave 2 #01-04,Singapore 550304,T +65 6382 1878
107,Unity Family Medicine Clinic,9.12 km - Closing in 3 hr 31 min,264 Serangoon Central #01-25,Singapore 550264,T +65 6281 2638
108,Drs Lim & Chan Clinic,9.16 km - Closed,2 Lorong Lew Lian #01-50,Singapore 531002,T +65 6280 3009
109,Kensington Square Medical Clinic And Surgery,9.17 km - Closing in 9 hr 31 min,2 Jalan Lokam #01-57 Kensington Square,Singapore 537846,T +65 6908 4391
110,Koh's T & T Clinic & Surgery,9.17 km - Closing in 2 hr 1 min,237 Serangoon Ave 3 #01-126,Singapore 550237,T +65 6382 3103
111,Sterling Clinic & Surgery,9.19 km - Closing in 2 hr 1 min,3 Lorong Liew Lian #01-64,Singapore 531003,T +65 6284 9971
112,Healthcare Family Clinic & Surgery,9.23 km - Closing in 1 hr 31 min,403 Sin Ming Avenue #01-311,Singapore 570403,T +65 6454 2373
113,Lim Clinic,9.25 km - Closing in 2 hr 31 min,"295, Changi Road",Singapore 419773,T +65 6742 6335
114,Lim Clinic (Changi Road),9.25 km - Closing in 2 hr 31 min,295 Changi Road,Singapore 419773,T +65 6742 6335
115,Silver Cross Family Clinic (Serangoon),9.27 km - Closing in 9 hr 31 min,262 Serangoon Central Drive #01-109,Singapore 550262,T +65 6287 8702
116,Q & M Medical Family Clinic,9.27 km - Closing in 2 hr 31 min,262 Serangoon Central Drive #01-115,Singapore 550262,T +65 6488 2336
117,Shenton Medical Group (Serangoon),9.28 km - Closing in 2 hr 31 min,263 Serangoon Central Drive #01-59,Singapore 550263,T +65 6487 6580
118,Chungkiaw Clinic,9.29 km - Closing in 1 hr 31 min,68 Jalan Jurong Kechil #01-01 Suites at Bukit Timah,Singapore 596180,T +65 6466 2255
119,Siglap Clinic,9.33 km - Closing in 1 hr 31 min,308 Telok Kurau Road #01-08 Vibes@East Coast,Singapore 423858,T +65 6348 8389
