,Clinic Name,Distance and Status,Address,Location,Contact Info
48,Ong's Clinic,3.3 km - Closing in 2 hr 39 min,175 Bencoolen Street #01-44 Burlington Square,Singapore 189649,T +65 6337 1814
49,Rochor Centre Clinic,3.3 km - Closed,175 Bencoolen Street #01-20 Burlington Square,Singapore 189649,T +65 6292 8327
50,K N Chin & Associates  (Suntec City),3.33 km - Closing in 3 hr 9 min,3 Temasek Boulevard #02-400 Suntec City Mall,Singapore 038983,T +65 6337 2522
51,Shenton Medical Group (Suntec City),3.33 km - Closing in 3 hr 9 min,3 Temasek Boulevard #02-122 Suntec City Mall,Singapore 038983,T +65 6887 0151
52,Acacia Medical Clinic,3.36 km - Closed,180 Depot Road #01-07,Singapore 109684,T +65 9788 9194
53,Drs. Chua & Partners (Alexandra Village),3.43 km - Closing in 2 hr 39 min,125 Bukit Merah Lane 1 #01-174,Singapore 150125,T +65 6377 3179
54,Care Family Clinic,3.48 km - Closing in 1 hr 38 min,663 Buffalo Road #01-12,Singapore 210663,T +65 6299 5868
55,Teng Clinic,3.48 km - Closing in 1 hr 38 min,171 Stirling Road #01-1101,Singapore 140171,T +65 6473 3187
56,First Medical Centre,3.55 km - Closing in 2 hr 8 min,169 Stirling Road #01-1165,Singapore 140169,T +65 6476 8588
57,Raffles Executive Medical Centre,3.58 km - Closing in 3 hr 8 min,585 North Bridge Road #Level 2 Raffles Hospital,Singapore 188770,T +65 6311 2288
58,Fullerton Healthcare (Alexandra),3.59 km - Closing in 3 hr 38 min,460 Alexandra Road  #02-18 Alexandra Retail Centre,Singapore 119963,T +65 6273 3366 F +65 6273 3366
59,Shenton Wellness Centre (Alexandra),3.59 km - Closing in 3 hr 8 min,460 Alexandra Road mTower (Alexandra Retail Centre) #02-15,Singapore 119963,T +65 6376 1630
60,Cityhealth Clinic & Surgery,3.6 km - Closing in 2 hr 8 min,152 Beach Road #03-08 Gateway East,Singapore 189721,T +65 6299 5398
61,WL&H Medical Clinic,3.6 km - Closed,"1 Scotts Road, Shaw Centre  #20-11/13",Singapore 228208,T +65 6662 9366
62,Town Hall Clinic,3.61 km - Closing in 2 hr 8 min,438A Alexandra Road #B1-02 Lift Lobby 1 Alexandra Technopark Block A,Singapore 119967,T +65 6278 8089
63,Waheeda's Clinic & Surgery,3.65 km - Closing in 5 hr 38 min,16 Kerbau Road #01-01,Singapore 219155,T +65 6291 9155
64,Soong Clinic and Surgery,3.66 km - Closing in 1 hr 38 min,162 Mei Ling Street #01-353,Singapore 140162,T +65 6475 5930
65,Fong Clinic,3.66 km - Closed,162 Mei Ling Street #01-361,Singapore 140162,T +65 6474 5993
66,Mei Ling Clinic,3.68 km - Closed,158 Mei Ling St #01-80,Singapore 140158,T +65 6474 1782
67,Apollo Medical Centre,3.69 km - Closing in 7 hr 38 min,668 Chander Road #01-24,Singapore 210668,T +65 6296 2777
68,Shifa Clinic & Surgery,3.69 km - Closing in 6 hr 38 min,668 Chander Road #01-20,Singapore 210668,T +65 6295 7667
69,Winstedt Clinic,3.7 km - Closed,51 Upper Weld Road,Singapore 207408,T +65 6292 2975
70,RafflesMedical,3.83 km - Closing in 3 hr 8 min,20 Pasir Panjang Road #02-26 Mapletree Business City,Singapore 117439,T +65 6570 6970
71,The Clinic @ Business City,3.83 km - Closing in 3 hr 8 min,20 Pasir Panjang Road #Mapletree Business City #02-26,Singapore 117439,T +65 6816 7180
72,Town Clinic,3.85 km - Closed,287 Beach Road #01-00,Singapore 199551,T +65 6298 1456
73,Cavenagh Medical Clinic and Home Care,4 km - Closing in 6 hr 38 min,559 Bukit Timah Road #01-01,Singapore 269695,T +65 8831 8316
74,MyCLNQ Medical @ Jurong,4 km - Closed,"2 Venture Drive #02-02, Vision Exchange",Singapore 608526,T +65 6904 4722
75,Rowell Clinic & Surgery,4.02 km - Closing in 3 hr 8 min,642 Rowell Road #01-115,Singapore 200642,T +65 6292 0338
76,United Medical Clinic,4.04 km - Closed,25 Jalan Berseh #01-144,Singapore 200025,T +65 6296 3664
77,Tayka Medical,4.06 km - Closing in 7 hr 38 min,29A Desker Road,Singapore 209562,T +65 6392 4473
78,AM PM Family Clinic & Surgery,4.07 km - Closed,123 Toa Payoh Lorong 1 ##01-521,Singapore 310123,T +65 6253 0917 F +65 6259 9051
79,The Balmoral Clinic Family Medicine,4.08 km - Closing in 4 hr 8 min,271 Bukit Timah Road #02-12 Balmoral Plaza,Singapore 259708,T +65 6732 2033
80,Textile Centre Clinic,4.12 km - Closing in 2 hr 8 min,200 Jalan Sultan #03-32 Textile Centre,Singapore 199018,T +65 6298 2400
81,Vernon Clinic & Surgery,4.12 km - Closed,100 Jalan Sultan #02-25/26 Sultan Plaza,Singapore 199001,T +65 6294 0244
82,Japan Clinic & Surgery,4.29 km - Closing in 2 hr 8 min,802 French Road #01-55,Singapore 200802,T +65 6298 4517
83,Tanglin Halt Clinic,4.3 km - Closing in 2 hr 8 min,39 Tanglin Halt Road #01-119Q,Singapore 143039,T +65 6472 6226
84,Physicians Practice Family Medical Center,4.33 km - Closing in 6 hr 38 min,101 Thomson Road #01-17 United Square,Singapore 307591,T +65 6254 8182
85,Q & M Medical & Aesthetic Clinic (Farrer Park),4.37 km - Closing in 2 hr 38 min,180 Kitchener Road #B1-13/15 City Square Mall,Singapore 208539,T +65 6509 9558
86,57 Medical Clinic (Pek Kio),4.37 km - Closed,Blk 41 Cambridge Road #01-17,Singapore 210041,T +65 6539 9237
87,Healthway Medical,4.38 km - Closing in 2 hr 8 min,803 King George's Avenue #01-144,Singapore 200803,T +65 6293 9883
88,Lavender Medical Clinic & Surgery,4.38 km - Closing in 2 hr 8 min,803 King George's Avenue #01-186,Singapore 200803,T +65 6291 6631
89,Cheong Family Clinic,4.43 km - Closing in 2 hr 8 min,45 Owen Road #01-293,Singapore 210045,T +65 6297 5125
90,Everwell Clinic & Surgery,4.43 km - Closing in 1 hr 8 min,45 Owen Road #01-289,Singapore 210045,T +65 6296 9429
91,Fullerton Health Screening Centre @ Novena,4.49 km - Closing in 2 hr 38 min,"238B Thomson Road, Novena Square Tower B  #05-01",Singapore 307685,T +65 6333 3636
92,Truecare Clinic,4.5 km - Closed,88 Rangoon Road #Rangoon 88 #01-06,Singapore 218374,T +65 6299 8880
93,Medical and Dental Centre @ Commonwealth,4.52 km - Closing in 2 hr 38 min,88 Tanglin Halt Road #01-03  Multi Storey Car Park,Singapore 141088,T +65 6475 6116
94,E.C. Ng Medical Centre,4.53 km - Closed,2 Marne Road #01-01 Studios @ Marne,Singapore 208393,T +65 6296 0947
95,M Medical Clinic,4.53 km - Closed,681 Race Course Road #01-309,Singapore 210681,T +65 6398 0462
96,Healthway Medical Centre (Novena Sq),4.62 km - Closing in 3 hr 7 min,238 Thomson Road #03-32A Novena Square,Singapore 307683,T +65 6352 8696
97,OneDoctors Family Clinic,4.7 km - Closing in 7 hr 37 min,275 Thomson Road #01-03 Novena Ville,Singapore 307645,T +65 6254 2008
98,OGL Medical Centers,4.71 km - Closing in 9 hr 37 min,10 Sinaran Drive #Square 2 #10-31,Singapore 307506,T +65 9139 3167
99,Healthway Medical,4.71 km - Closing in 3 hr 7 min,10 Sinaran Drive #Novena Medical Center #09-36,Singapore 307506,T +65 6352 8696 F +65 6352 8695
100,Chia Clinic and Surgery,4.71 km - Closed,27 Foch Road #01-04 Hoa Nam Building,Singapore 209264,T +65 6298 0959
101,Edgedale Medical Clinic (Cambridge),4.71 km - Closed,Blk 40 Cambridge Road #01-115,Singapore 210040,T +65 6292 1088
102,FEMA Clinic & Surgery,4.72 km - Closing in 3 hr 37 min,"10 Sinaran Drive #09-20 Novena Medical Center, Square 2",Singapore 307506,T +65 6854 3720
103,A Life Clinic,4.72 km - Closing in 1 hr 37 min,10 Sinaran Drive #09-21 Novena Medical Center,Singapore 307506,T +65 6737 2283
104,The Rafflesian Clinic & Surgery,4.72 km - Closing in 1 hr 37 min,10 Sinaran Drive #11-06 Novena Medical Center,Singapore 307506,T +65 6338 2740
105,Novena Medical Center Family Clinic,4.72 km - Closing in 0 hr 37 min,"10 Sinaran Drive #11-19 Novena Medical Center, Square 2",Singapore 307506,T +65 6397 7318
106,The Family Practice Clinic & Surgery,4.73 km - Closing in 0 hr 37 min,117 Commonwealth Drive #01-723,Singapore 140117,T +65 6474 8394
107,The Clinic @ Aperia,4.83 km - Closing in 3 hr 7 min,12 Kallang Ave #03-15 Aperia,Singapore 339511,T +65 6341 6892
108,Oneness Medical,5.03 km - Closing in 5 hr 37 min,Blk 31 Holland Close ##01-231,Singapore 270031,T +65 6937 2120 F +65 9825 7316
109,Holland Medical Clinic,5.03 km - Closing in 3 hr 37 min,31 Holland Close #01-231,Singapore 270031,T +65 6262 0364
110,Healthway Medical,5.08 km - Closing in 2 hr 37 min,705 Serangoon Road #Kwong Wai Shiu Hospital #01-06,Singapore 328127,T +65 6291 4331 F +65 6323 1409
111,Balestier Clinic & Health Screening Centre,5.09 km - Closing in 2 hr 37 min,221 Balestier Road #03-04 Rocca Balestier,Singapore 329928,T +65 6258 8798
112,Yap Medicare Clinic & Surgery,5.11 km - Closing in 1 hr 37 min,8 Empress Road #01-03,Singapore 260008,T +65 6471 2338
113,Dr.W Family Clinic,5.11 km - Closed,8 Empress Road #01-09,Singapore 260008,T +65 6475 4262
114,Tay Medical Centre Clinic & Surgery,5.18 km - Closing in 1 hr 37 min,6 Holland Close #01-28,Singapore 271006,T +65 6779 3188
115,Heal Medical Centre,5.21 km - Closing in 2 hr 37 min,262 Balestier Road #04-02 Okio,Singapore 329714,T +65 6250 9550
116,Family Health Clinic & Surgery,5.23 km - Closing in 1 hr 37 min,2 Balestier Road #01-651,Singapore 320002,T +65 6254 2440
117,N B Tham Clinic,5.24 km - Closing in 2 hr 37 min,8 Whampoa Drive,Singapore 327718,T +65 6288 0739
118,Oaklife Family Clinic,5.32 km - Closing in 2 hr 7 min,592G Balestier Road,Singapore 329902,T +65 6980 8568
119,RafflesMedical (Holland),5.36 km - Closing in 3 hr 7 min,118 Holland Ave #05-02/03/04 Holland V,Singapore 278997,T +65 6250 1411
