,Clinic Name,Distance and Status,Address,Location,Contact Info
27,C H Tan Medical Clinic & Dental Surgery,12.59 km - Closing in 1 hr 24 min,177 Bukit Batok West Ave 8 #01-259,Singapore 650177,T +65 6561 8712
28,Idoc Clinic,12.62 km - Closing in 2 hr 24 min,21 Hougang Street 51 #Hougang Green Shopping Mall #01-43,Singapore 538719,T +65 6909 3485 F +65 9825 6091
29,Excel Family Clinic,12.62 km - Closing in 1 hr 54 min,21 Hougang St 51 #01-06 Hougang Green Shopping Mall,Singapore 538719,T +65 6386 5278
30,Mission (Hougang) Medical Clinic,12.63 km - Closed,356 Hougang Ave 7 #01-799,Singapore 530356,T +65 6281 4567
31,Phoenix Medical Group (Seletar Greenwich),12.64 km - Closing in 5 hr 54 min,1 Seletar Road #02-11 Greenwich Village,Singapore 807011,T +65 6555 3512
32,Onecare Clinic Bukit Gombak MRT,12.64 km - Closing in 0 hr 24 min,802 Bukit Batok West Ave 5 #01-16 Bukit Gombak Mrt Station,Singapore 659083,T +65 6352 2639
33,Chua Medical Clinic And Surgery Pte. Ltd.,12.64 km - Closed,Blk 642 Bukit Batok Central #01-52,Singapore 650642,T +65 9843 6958
34,Everhealth Medical Centre,12.66 km - Closing in 1 hr 54 min,540 Hougang Ave 8 #B1-1235,Singapore 530540,T +65 6385 0815
35,Shenton Family Medical Clinic (Bukit Gombak),12.69 km - Closing in 8 hr 24 min,372 Bukit Batok St 31 #01-378,Singapore 650372,T +65 6566 5671
36,Mary Medical Clinic & Surgery,12.69 km - Closing in 2 hr 24 min,252 Jurong East St 24 #01-157,Singapore 600252,T +65 6562 4721
37,Ar-Raudhah Medical Clinic,12.69 km - Closing in 1 hr 24 min,372 Bukit Batok St 31 #01-386,Singapore 650372,T +65 6567 7458
38,Minmed Clinic (Buangkok),12.7 km - Closing in 2 hr 24 min,"70 Compassvale Bow #02-13, Sengkang Grand Mall",Singapore 544692,T +65 6788 0123
39,Yeo Clinic,12.7 km - Closing in 1 hr 24 min,134 Bukit Batok West Ave 6 #01-447,Singapore 650134,T +65 6566 0601
40,Pancare Medical (Hougang) Pte. Ltd,12.72 km - Closing in 2 hr 24 min,"23 Hougang Ave 3, Hougang View #01-285",Singapore 530023,T +65 6242 0104
41,Medipoint Medical Centre,12.72 km - Closed,401 Hougang Ave 10 #01-1170,Singapore 530401,T +65 6386 5046
42,Prohealth 24-Hour Medical Clinic,12.74 km - Open 24 Hrs,259 Bukit Panjang Ring Road #01-18,Singapore 671259,T +65 6765 2115
43,Esther Yeo Clinic,12.75 km - Closing in 1 hr 54 min,256 Jurong East St 24 #01-389,Singapore 600256,T +65 6565 2822
44,Neecare Medical Centre,12.77 km - Closed,371 Bukit Batok St 31 #01-320,Singapore 650371,T +65 6567 4990
45,Healthlife Family Clinic,12.78 km - Closing in 1 hr 24 min,Blk 296A Bukit Batok Street 22 #Skyline II @ Bukit Batok #01-64,Singapore 651296,T +65 6904 8680 F +65 6904 8681
46,Healthveer Medical Clinic (Jurong East),12.8 km - Closing in 5 hr 24 min,114 Jurong East St 13 #01-406,Singapore 600114,T +65 9666 7716
47,Frontier People's Clinic,12.81 km - Closing in 1 hr 54 min,123 Bedok North St 2 #01-152,Singapore 460123,T +65 6443 0261
48,Pinnacle Family Clinic (Buangkok Square),12.81 km - Closing in 0 hr 24 min,991 Buangkok Link #02-05 Buangkok Square,Singapore 530991,T +65 6909 9203
49,Bedok Life Clinic,12.81 km - Closed,123 Bedok North St 2 #01-160,Singapore 460123,T +65 6443 1398
50,Lee & Koh Family Clinic,12.86 km - Closing in 1 hr 24 min,359 Bukit Batok St 31 #01-389,Singapore 650359,T +65 6665 3323
51,First Care Family Clinic & Surgery,12.86 km - Closed,253 Jurong East St 24 #01-257,Singapore 600253,T +65 6425 2350
52,DA Clinic @ Bukit Batok,12.88 km - Closing in 6 hr 24 min,Blk 451 Bukit Batok West Avenue 6 ##01-02,Singapore 650451,T +65 6954 1012
53,True Medical Clinic Bedok South,12.9 km - Closed,"158, Bedok South Ave 3 #01-587",Singapore 460158,T +65 6904 2029
54,Heartland Health (Upper Changi),12.91 km - Closing in 8 hr 24 min,59 New Upper Changi Road #01-1268,Singapore 461059,T +65 6445 3100
55,Clinic Faridah,12.91 km - Closing in 2 hr 54 min,59 New Upper Changi Road #01-1230,Singapore 461059,T +65 6442 7480
56,New Town Clinic,12.91 km - Closed,59 New Upper Changi Road #01-1224,Singapore 461059,T +65 6443 1784
57,Island Family Clinic (Bedok),12.94 km - Closed,763 Bedok Reservoir View #01-283,Singapore 470763,T +65 6243 5871
58,St Luke’s Community Clinic (By appointment only),12.95 km - Closing in 2 hr 54 min,2 Bukit Batok Street 11,Singapore 659674,T +65 6895 3230
59,East Coast Medical Centre,12.97 km - Closing in 2 hr 54 min,57A New Upper Changi Road #01-1374,Singapore 462057,T +65 6443 0109
60,Fernvale Family Clinic,12.97 km - Closing in 1 hr 53 min,405C Fernvale Lane #01-101,Singapore 793405,T +65 6875 6182
61,Eon Medical Clinic,12.98 km - Closing in 1 hr 53 min,475 Upper Serangoon Crescent #Multi Storey Car Park #01-04,Singapore 530475,T +65 6384 0904
62,Procross Medical Centre,12.99 km - Closing in 1 hr 53 min,449 Hougang Ave 10 #B1-509,Singapore 530449,T +65 6702 2848
63,Mission (Bukit Batok) Medical Clinic,13.01 km - Closed,395A Bukit Batok West Ave 5 #03-02,Singapore 651395,T +65 6515 0760
64,Oasis Family Clinic,13.02 km - Closing in 8 hr 23 min,56 New Upper Changi Road #01-1322,Singapore 461056,T +65 6448 8055
65,Eastern Clinic and Dental Surgery,13.03 km - Closing in 1 hr 53 min,303 Jurong East St 32 #01-92,Singapore 600303,T +65 6562 2941
66,H L Family Clinic & Surgery (Bedok),13.05 km - Closing in 0 hr 23 min,89 Bedok North St 4 #01-83,Singapore 460089,T +65 6442 0494
67,SP Clinic,13.05 km - Closing in 0 hr 23 min,117 Pending Road #01-224,Singapore 670117,T +65 6766 0286
68,Island Family Clinic (Seletar),13.05 km - Closed,Blk 455 Sengkang West Ave #01-14,Singapore 790455,T +65 6908 8280
69,Suncare Medical Clinic (Sengkang West),13.05 km - Closed,Blk 455 Sengkang West Ave #01-08,Singapore 790455,T +65 6970 6570
70,Keystone Clinic and Surgery,13.09 km - Closing in 6 hr 23 min,Blk 632 Ang Mo Kio Avenue 4 #01-966,Singapore 560632,T +65 6250 7200
71,Holistic Care Family Clinic,13.1 km - Closing in 1 hr 53 min,Blk 455 Sengkang West Avenue #01-10,Singapore 790455,T +65 6513 4757
72,Temasek Clinic & Surgery,13.1 km - Closed,73 Bedok South Ave 3 #01-460,Singapore 460073,T +65 6443 6113
73,Temasek Medical Clinic (Bedok North),13.12 km - Closing in 1 hr 23 min,86 Bedok North St 4 #01-177,Singapore 460086,T +65 6443 0949
74,Pinetree Medical Clinic,13.12 km - Closed,86 Bedok North St 4 #01-175,Singapore 460086,T +65 6679 1149
75,One Wellness Medical @ Compassvale Bow,13.14 km - Closing in 2 hr 23 min,"70 Compassvale Bow, Sengkang Grand Mall #02-06",Singapore 544692,T +65 6904 1671
76,Lifeline Bukit Panjang Medical Clinic,13.14 km - Closing in 1 hr 53 min,103 Gangsa Road #01-37 Bt Panjang Medical Centre,Singapore 670103,T +65 6760 5788
77,Chong & Lim Family Clinic,13.14 km - Closing in 1 hr 23 min,103 Gangsa Road #01-39,Singapore 670103,T +65 6762 6881
78,Q & M Medical Clinic (Buangkok MRT) Pte. Ltd.,13.15 km - Closed,10 Sengkang CentralBuangkok MRT Station #01-02,Singapore 545061,T +65 6242 9133 F +65 6242 9869
79,Distinct Clinic Bukit Batok,13.16 km - Closing in 1 hr 53 min,467 Bukit Batok West Ave 9 #01-09,Singapore 650467,T +65 6980 7781
80,Sterling Family Clinic,13.17 km - Closing in 2 hr 23 min,84 Bedok North St 4 #01-41,Singapore 460084,T +65 6876 1654
81,Famicare Bedok Clinic,13.17 km - Closing in 0 hr 23 min,158 Bedok South Ave 3 #01-581,Singapore 460158,T +65 6442 8373
82,Thai Shen Family Clinic,13.17 km - Closing in 0 hr 23 min,84 Bedok North St 4 #01-65,Singapore 460084,T +65 6444 8134
83,Island Family Clinic (Bukit Batok),13.17 km - Closed,Blk 447 Bukit Batok ##01-05 West Avenue 9,Singapore 650447,T +65 6250 1530 F +65 9003 9246
84,Sunbeam Medical Clinic,13.24 km - Closed,443C Fajar Road #01-73,Singapore 673443,T +65 6610 0968
85,Shenton Medical Group (Buangkok MRT),13.27 km - Closing in 2 hr 53 min,10 Sengkang Central #01-04 Buangkok MRT Station,Singapore 545061,T +65 6315 3671 F +65 6315 8190
86,ProHealth Medical Group @ Fernvale,13.28 km - Closing in 7 hr 23 min,33 Sengkang West Avenue #B1-18 The Seletar Mall,Singapore 797653,T +65 6886 4780
87,DA Clinic @ Taman Jurong,13.28 km - Closing in 6 hr 23 min,Blk 140 Corporation Drive ##01-03,Singapore 610410,T +65 6954 1012
88,RafflesMedical (Seletar Mall),13.28 km - Closing in 2 hr 53 min,33 Sengkang West Avenue #01-54/55/56 The Seletar Mall,Singapore 797653,T +65 6702 6917
89,Etern Medical Clinic & Surgery,13.28 km - Closing in 2 hr 23 min,33 Sengkang West Avenue #03-33 The Seletar Mall,Singapore 797653,T +65 6425 7255
90,Prohealth Medical Group @ Buangkok,13.29 km - Closing in 8 hr 23 min,275D Compassvale Link #01-01 (Unit 12),Singapore 544275,T +65 6481 8066
91,SATA Commhealth Community Hub,13.31 km - Closing in 2 hr 23 min,Blk 447B Jalan Kayu #Fernvale Lodge #01-01,Singapore 792447,T +65 6236 1028 F +65 6244 0360
92,Vitacare Family Clinic@Seletar Pte.Ltd.,13.37 km - Closed,417 Fernvale Link #01-03,Singapore 790417,T +65 6315 1608 F +65 6315 1609
93,Peak Medical West Plains,13.38 km - Closed,467 Bukit Batok West Ave 9 #01-04,Singapore 650467,T +65 6011 6650
94,Prohealth Medical Group @ Hougang,13.39 km - Closing in 8 hr 23 min,476D Upper Serangoon View #02-04,Singapore 537476,T +65 6384 7662
95,Temasek Medical Centre (Bukit Batok West),13.39 km - Closing in 2 hr 23 min,413 Bukit Batok West Ave 4 #01-214,Singapore 650413,T +65 6565 6556
96,Boon Lay Corporation Clinic,13.4 km - Closing in 2 hr 22 min,350 Jurong East Ave 1 #01-1225,Singapore 600350,T +65 6899 4569 F +65 6564 6303
97,Prohealth Medical Group @ LRT Fernvale,13.42 km - Closing in 8 hr 22 min,437 Fernvale Road #01-04 Multi Storey Car Park,Singapore 790437,T +65 6441 1672
98,Onecare Clinic Bukit Batok West,13.42 km - Closed,Blk 440 Bukit Batok West Avenue 8 #01-07 Multi Storey Car Park,Singapore 650440,T +65 6970 8649
99,Frontier Medical Associates,13.42 km - Closed,Blk 451 Bukit Batok West Ave 6 #01-07,Singapore 650451,T +65 6258 3035
100,Onecare Clinic Fernvale,13.47 km - Closed,Blk 417 Fernvale Link ##01-10,Singapore 790417,T +65 6970 9302 F +65 6970 9303
101,Green Cross Medical Centre,13.48 km - Closing in 6 hr 22 min,824 Tampines St 81 #01-30,Singapore 520824,T +65 6781 3022
102,True Medical Clinic Tampines West,13.48 km - Closed,824 Tampines St 81 #01-26,Singapore 520824,T +65 6909 0324
103,OGL Medical Jurong East,13.49 km - Closing in 2 hr 22 min,Blk 353 Jurong East Street 31 ##01-111 Yuhua Place,Singapore 600353,T +65 6909 8767 F +65 9119 0635
104,Fajar Family Clinic & Surgery,13.49 km - Closing in 1 hr 52 min,445 Fajar Road #01-550,Singapore 679445,T +65 6769 0636
105,Healthway Medical Clinic (Fajar),13.49 km - Closing in 1 hr 52 min,445 Fajar Road #02-534 Fajar Shopping Centre,Singapore 670445,T +65 6769 0600 F +65 6769 0900
106,Cashew Medical & Surgery,13.49 km - Closing in 1 hr 22 min,445 Fajar Road #02-522 Fajar Shopping Centre,Singapore 670445,T +65 6763 4255
107,Anchor Health Family Clinic,13.49 km - Closing in 0 hr 52 min,445 Fajar Road #01-546 Fajar Shopping Centre,Singapore 670445,T +65 6762 2278
108,Allhealth Family Clinic,13.49 km - Closed,872C Tampines St 86 #01-01,Singapore 523872,T +65 6702 6467
109,Prohealth Medical Group @ Bukit Batok,13.5 km - Closing in 7 hr 22 min,4 Bukit Batok Street 41 Le Quest #01-76,Singapore 657991,T +65 6970 8330
110,Joyhealth Medical Clinic & Surgery,13.51 km - Closing in 2 hr 22 min,825 Tampines St 81 #01-50,Singapore 520825,T +65 6781 1868
111,Parkway Shenton Medical Group (Bukit Panjang Plaza),13.52 km - Closing in 2 hr 52 min,1 Jelebu Road #03-02 Bukit Panjang Plaza,Singapore 677743,T +65 6769 7863
112,Everhealth Family Clinic & Surgery,13.55 km - Closing in 5 hr 22 min,4 Bukit Batok Street 41 #01-88 Le Quest Mall,Singapore 657991,T +65 6793 3113
113,OneCare Clinic Bukit Panjang Bus Interchange,13.55 km - Closing in 0 hr 22 min,"15 Petir Rd, Integrated Transport Hub #01-66",Singapore 678270,T +65 6518 4055
114,Healthway Medical Clinic (Anchorvale),13.56 km - Closing in 2 hr 22 min,308 Anchorvale Road #01-03,Singapore 540308,T +65 6312 3106
115,Healthway Medical Clinic (Compassvale),13.57 km - Closing in 2 hr 22 min,267 Compassvale Link #01-04,Singapore 540267,T +65 6343 8770
116,The Olive Tree Family Clinic & Surgery,13.57 km - Closing in 2 hr 22 min,303 Anchorvale Link #01-02,Singapore 540303,T +65 6388 8697
117,Greenforest Family Clinic,13.57 km - Closed,878C Tampines Ave 8 #01-71,Singapore 523878,T +65 6785 0157
118,Acumed Medical Group (Yung Kuang),13.58 km - Closing in 6 hr 22 min,64 Yung Kuang Road #01-107/111,Singapore 610064,T +65 6265 6422 F +65 6266 2777
119,Drs Tang & Partners,13.58 km - Closing in 5 hr 52 min,64 Yung Kuang Road #01-115,Singapore 610064,T +65 6265 6077
