,Clinic Name,Distance and Status,Address,Location,Contact Info
92,Oei & Kho Clinic And Surgery,6.75 km - Closing in 2 hr 35 min,18 Lorong 7 Toa Payoh #01-250,Singapore 310018,T +65 6250 1328
93,Teoh Clinic Family Practice,6.76 km - Closed,47 Toa Payoh Lorong 6 #01-142,Singapore 310047,T +65 6255 5188
94,Intemedical Potong Pasir,6.78 km - Closing in 9 hr 35 min,51 UPPER SERANGOON ROAD #01-29 THE POIZ CENTRE,Singapore 347697,T +65 6242 6384
95,Camry Medical Centre,6.8 km - Closing in 1 hr 35 min,95 Toa Payoh Lorong 4 #01-66,Singapore 310095,T +65 6258 0553
96,The Medical and Aesthetic Clinic,6.8 km - Closing in 1 hr 34 min,270 Sims Avenue,Singapore 387514,T +65 6742 5155
97,SATA Commhealth Medical Centre - Potong Pasir,6.83 km - Closing in 2 hr 34 min,1 Siang Kuang Avenue #Sennett Estate,Singapore 347919,T +65 6244 6688
98,Associate Dispensaries,6.83 km - Closed,94 Toa Payoh Lorong 4 #01-20,Singapore 310094,T +65 6256 2308
99,SATA CommHealth Medical Centre (Potong Pasir),6.84 km - Closing in 3 hr 4 min,1 Siang Kuang Avenue,Singapore 347919,T +65 6244 6688
100,Tay Clinic,6.86 km - Closed,494 Geylang Road,Singapore 389452,T +65 6744 6336
101,Shenton Medical Group,6.86 km - Closed,168 Kallang Way Level 1,Singapore 349253,T +65 6840 0123 F +65 6744 8824
102,DA Clinic @ Potong Pasir,6.91 km - Closing in 6 hr 34 min,51 Upper Serangoon Road ##01-53 The Poiz Centre,Singapore 347697,T +65 6954 1012
103,Procross Medical Center,6.91 km - Closing in 1 hr 4 min,51 Upper Serangoon Road ##01-29 The Poiz Centre,Singapore 347697,T +65 6969 6546 F +65 6969 2451
104,The Family Practice - Potong Pasir,6.91 km - Closed,148 Potong Pasir Ave 1 #01-33,Singapore 350148,T +65 6281 6906
105,A Healing Heart,6.93 km - Closing in 3 hr 34 min,"134, Geylang East Ave 1 #01-227",Singapore 380134,T +65 6962 1362
106,Ruby Medical Centre,6.93 km - Closed,35 Tannery Road (Tannery Block) #02-02A,Singapore 347740,T +65 6743 3352
107,Lim Clinic & Surgery,6.99 km - Closing in 2 hr 4 min,109 Toa Payoh Lorong 1 #01-312,Singapore 310109,T +65 6252 7473
108,EJ Family Clinic and Surgery,6.99 km - Closed,109 Toa Payoh Lorong 1 #01-314,Singapore 310109,T +65 6353 9205
109,Neo Medical Centre,7.03 km - Closing in 1 hr 34 min,120 Potong Pasir Ave 1 #01-818,Singapore 350120,T +65 6285 4210
110,Swiss Clinic,7.05 km - Closing in 4 hr 34 min,1 Fifth Avenue #01-01 Guthrie House,Singapore 268802,T +65 6467 3218
111,Tek Dispensary,7.06 km - Closing in 2 hr 34 min,4 Toa Payoh Lorong 7 ##01-115,Singapore 310004,T +65 6251 2256 F +65 6259 3278
112,RafflesMedical (Sixth Avenue),7.09 km - Closing in 3 hr 4 min,10E Sixth Avenue #01-03,Singapore 276474,T +65 6462 3426
113,East Coast Family Clinic,7.09 km - Closing in 0 hr 34 min,121 Meyer Road #01-05 The Makena,Singapore 437932,T +65 6440 4556
114,Kent Ridge Clinic,7.12 km - Closing in 3 hr 4 min,1 Lower Kent Ridge Road One@KentRidge  #01-40,Singapore 119082,T +65 6911 0565
115,Faith Clinic (Toa Payoh),7.12 km - Closed,211 Lorong 8 Toa Payoh #01-19,Singapore 310211,T +65 6252 7896
116,CODE 4 Medical Clinic,7.16 km - Closing in 3 hr 4 min,627 Aljunied Road #02-01 Pacific Building,Singapore 389837,T +65 6771 6722
117,Temasek Medical Clinic  (Toa Payoh),7.17 km - Closing in 1 hr 34 min,212 Toa Payoh Lorong 8 #01-41,Singapore 310212,T +65 6252 3206
118,Boston Medical,7.18 km - Closing in 3 hr 4 min,Blk 119 Aljunied Avenue 2 ##01-72,Singapore 380119,T +65 6817 9036 F +65 6748 2884
119,Mediline Wei Min Clinic,7.24 km - Closed,833 Bukit Timah Road #01-05 Royalville,Singapore 279887,T +65 6635 8883
